year,award,film,result
1976,Best Actress,Le Sauvage,Nominated
1981,Best Actress,Le Dernier metro,Won
1982,Best Actress,Hotel des Ameriques,Nominated
1988,Best Actress,Agent trouble,Nominated
1989,Best Actress,Drole d'endroit pour une rencontre,Nominated
1993,Best Actress,Indochine,Won
1994,Best Actress,Ma saison preferee,Nominated
1997,Best Actress,Les Voleurs,Nominated
1999,Best Actress,Place Vendome,Nominated
2006,Best Supporting Actress,Palais Royal!,Nominated
2011,Best Actress,Potiche,Nominated
2014,Best Actress,On My Way,Pending
