num,Name,Office,Political Party,Occupation
1,Ole Olsen Strømme,,,Church bell ringer
2,Peder Olai Kleppe,,,Fisherman
3,Olai Naustheller,,,Farmer
4,Mikkel Nilsen Birkeland,,,Farmer
5,Magnus Larssen,,,School teacher
6,Salomon O. Fagerbakke,,,Fisherman
7,Salomon V. Kalvenes,,,Fisherman
8,Rikard S. Storebø,,Liberal Party,Social security manager
9,Peder Kalve,,Conservative Party,Maritime pilot
10,Magnus Stangeland,,Centre Party,School principal
11,Knut K. Kalvenes,,Conservative Party,Retailer
12,Hallvard Møgster,,Christian Democratic Party,Captain
13,Inge Bjarne Storebø,,Conservative Party,Bank manager
14,Olav P. Årland,,Christian Democratic Party,Shipmaster
15,Helge Andre Njåstad,2003-,Progress Party,Student
