city,county(ies),population (2000 census),population (2010 census),class,incorporation date
Abbotsford,Clark Marathon,1956,2310,4th,1965
Adams,Adams,1831,1967,4th,1926
Algoma,Kewaunee,3357,3167,4th,1879
Alma,Buffalo,942,781,4th,1885
Altoona,Eau Claire,6698,6706,4th,1887
Amery,Polk,2845,2902,4th,1919
Antigo,Langlade,8560,8234,4th,1885
Appleton,Calumet Outagamie Winnebago,70087,72623,2nd,1857
Arcadia,Trempealeau,2402,2925,4th,1925
Ashland,Ashland Bayfield,8620,8216,4th,1887
Augusta,Eau Claire,1460,1550,4th,1885
Baraboo,Sauk,10711,12048,3rd,1882
Barron,Barron,3248,3423,4th,1887
Bayfield,Bayfield,611,487,4th,1913
Beaver Dam,Dodge,15169,16243,4th,1856
Beloit,Rock,35775,36966,3rd,1857
Berlin,Green Lake Waushara,5305,5524,4th,1857
Black River Falls,Jackson,3618,3622,4th,1883
Blair,Trempealeau,1273,1366,4th,1949
Bloomer,Chippewa,3347,3539,4th,1920
Boscobel,Grant,3047,3231,4th,1873
Brillion,Calumet,2937,3148,4th,1944
Brodhead,Green Rock,3180,3293,4th,1891
Brookfield,Waukesha,38649,37920,2nd,1954
Buffalo City,Buffalo,1040,1023,4th,1859
Burlington,Racine Walworth,9936,10464,4th,1900
Cedarburg,Ozaukee,11102,11412,3rd,1885
Chetek,Barron,2180,2221,4th,1891
Chilton,Calumet,3708,3933,4th,1877
Chippewa Falls,Chippewa,12900,13679,3rd,1840
Clintonville,Waupaca,4736,4559,4th,1887
Colby,Clark Marathon,1616,1852,4th,1891
Columbus,Columbia Dodge,4479,4991,4th,1874
Cornell,Chippewa,1466,1467,4th,1956
Crandon,Forest,1961,1920,4th,1898
Cuba City,Grant Lafayette,2156,2086,4th,1925
Cudahy,Milwaukee,18429,18267,3rd,1906
Cumberland,Barron,2280,2170,4th,1885
Darlington,Lafayette,2418,2451,4th,1877
Delafield,Waukesha,6472,7085,4th,1959
Delavan,Walworth,7956,8463,4th,1897
De Pere,Brown,20559,23800,3rd,1883
Dodgeville,Iowa,4220,4698,4th,1889
Durand,Pepin,1968,1931,4th,1887
Eagle River,Vilas,1443,1398,4th,1937
Eau Claire,Chippewa Eau Claire,61704,65883,2nd,1872
Edgerton,Dane Rock,4898,5461,4th,1883
Elkhorn,Walworth,7305,10084,4th,1897
Elroy,Juneau,1578,1442,4th,1885
Evansville,Rock,4039,5012,4th,1896
Fennimore,Grant,2387,2497,4th,1919
Fitchburg,Dane,20501,25260,4th,1983
Fond du Lac,Fond du Lac,42203,43021,2nd,1852
Fort Atkinson,Jefferson,11621,12368,4th,1878
Fountain City,Buffalo,983,859,4th,1889
Fox Lake,Dodge,1454,1519,4th,1938
Franklin,Milwaukee,29494,35451,3rd,1956
Galesville,Trempealeau,1427,1481,4th,1942
Gillett,Oconto,1262,1386,4th,1944
Glendale,Milwaukee,13367,12872,3rd,1950
