Name,Canton,District,Area (km2),Population (As of 2005),Date of law
Diekirch Dikrech,Diekirch,Diekirch,12.42,6165,24 February 1843
Differdange Deifferdeng,Esch-sur-Alzette,Luxembourg,22.18,19005,4 August 1907
Dudelange Diddeleng,Esch-sur-Alzette,Luxembourg,21.38,17618,4 August 1907
Echternach Iechternach,Echternach,Grevenmacher,20.49,4507,24 February 1843
Esch-sur-Alzette Esch-Uelzecht,Esch-sur-Alzette,Luxembourg,14.35,28000,29 May 1906
Ettelbruck Ettelbreck,Diekirch,Diekirch,15.18,7364,4 August 1907
Grevenmacher Greiwemaacher,Grevenmacher,Grevenmacher,16.48,3966,24 February 1843
Luxembourg City Lëtzebuerg,Luxembourg,Luxembourg,51.46,76420,24 February 1843
Remich Reimech,Remich,Grevenmacher,5.29,2986,24 February 1843
Rumelange Rëmeleng,Esch-sur-Alzette,Luxembourg,6.83,4495,4 August 1907
Vianden Veianen,Vianden,Diekirch,9.67,1561,24 February 1843
Wiltz Wolz,Wiltz,Diekirch,19.37,4587,24 February 1843
