rank,title,studio,actor/actress,director,gross
1.0,Three Men and a Baby,Touchstone,"Tom Selleck, Ted Danson, and Steve Guttenberg",Leonard Nimoy,"$167,780,960"
2.0,Fatal Attraction,Paramount,"Michael Douglas, Glenn Close, and Anne Archer",Adrian Lyne,"$156,645,693"
3.0,Beverly Hills Cop II,Paramount,"Eddie Murphy, Judge Reinhold, Brigitte Nielsen, John Ashton, and Paul Reiser",Tony Scott,"$153,665,036"
4.0,"Good Morning, Vietnam",Touchstone,Robin Williams and Forest Whitaker,Barry Levinson,"$123,922,370"
5.0,Moonstruck,MGM,"Cher, Nicolas Cage, Olympia Dukakis, Vincent Gardenia, and Danny Aiello",Norman Jewison,"$80,640,528"
6.0,The Untouchables,Paramount,"Kevin Costner, Sean Connery, Robert De Niro, Andy Garcia, and Charles Martin Smith",Brian De Palma,"$76,270,454"
7.0,The Secret of My Success,Universal,"Michael J. Fox, Helen Slater, Margaret Whitton, and Richard Jordan",Herbert Ross,"$66,995,000"
8.0,Stakeout,Touchstone,"Richard Dreyfuss, Emilio Estevez, Madeleine Stowe, and Aidan Quinn",John Badham,"$65,673,233"
9.0,Lethal Weapon,Warner Bros.,"Mel Gibson, Danny Glover, and Gary Busey",Richard Donner,"$65,207,127"
10.0,Dirty Dancing,Vestron,"Patrick Swayze, Jennifer Grey, Jerry Orbach, and Cynthia Rhodes",Emile Ardolino,"$63,892,689"
11.0,The Witches of Eastwick,Warner Bros.,"Jack Nicholson, Cher, Susan Sarandon, Michelle Pfeiffer",George Miller,"$63,766,510"
12.0,Predator,Fox,"Arnold Schwarzenegger, Carl Weathers, Jesse Ventura, Bill Duke, Shane Black, and Kevin Peter Hall",John McTiernan,"$59,735,548"
13.0,Throw Momma from the Train,Orion,"Danny DeVito, Billy Crystal, Kate Mulgrew, and Anne Ramsey",Danny DeVito,"$57,915,972"
14.0,Dragnet,Universal,"Dan Aykroyd, Tom Hanks, Alexandra Paul, Christopher Plummer, and Dabney Coleman",Tom Mankiewicz,"$57,387,516"
15.0,RoboCop,Orion,"Peter Weller, Nancy Allen, Ronny Cox, Kurtwood Smith, Miguel Ferrer, and Dan O'Herlihy",Paul Verhoeven,"$53,424,681"
16.0,Outrageous Fortune,Touchstone,Bette Midler and Shelley Long,Arthur Hiller,"$52,864,741"
17.0,La Bamba,Columbia,"Lou Diamond Phillips, Esai Morales, Rosana DeSoto, Elizabeth Pena, and Danielle von Zerneck",Luis Valdez,"$52,678,820"
18.0,Broadcast News,Fox,"William Hurt, Holly Hunter, and Albert Brooks",James L. Brooks,"$51,300,000"
19.0,The Living Daylights,United Artists,Timothy Dalton and Maryam d'Abo,John Glen,"$51,185,000"
20.0,Eddie Murphy Raw,Paramount,Eddie Murphy,Robert Townsend,"$50,505,655"
