Affiliation,House Members 2000 Election Results,House Members At Dissolution,Senate Members On Election Day 2000,Senate Members At Dissolution
Liberal Party of Canada,172.0,168.0,55.0,65.0
Canadian Alliance,66.0,,1.0,
Bloc Quebecois,38.0,33.0,0.0,0.0
New Democratic Party,13.0,14.0,0.0,0.0
Progressive Conservative,12.0,,35.0,
Progressive Conservative (Senate caucus),,,,3.0
Conservative Party of Canada,,72.0,,24.0
Independent,0.0,10.0,5.0,5.0
Total members,301.0,297.0,96.0,97.0
vacant,0.0,4.0,9.0,8.0
Total seats,301.0,301.0,105.0,105.0
