source,date,population romania,population serbia,notes
Jozu Rill,1864,,,
Hungarian statistics,1880,18298.0,18298,
Hungarian statistics,1900,19944.0,19944,
Hungarian statistics,1910,13536.0,13536,"\evidently underestimated\"""""
Various authors,second half of the 19th century,,,"\sometimes including the Krashovani\"""""
Romanian census,1930,10012.0,,Romanian Banat only
Dimo Kazasov,1936,,3200,Serbian Banat only; estimated
Romanian census,1939,9951.0,,Romanian Banat only
Karol Telbizov,1940,12000.0,,Romanian Banat only; estimated
Mihail Georgiev,1942,,"up to 4,500",Serbian Banat only; estimated
Romanian census,1956,12040.0,,Romania only
Yugoslav census,1971,,"3,745",Serbian Banat only
Romanian census,1977,9267.0,,Romania only
Romanian census,2002,6486.0,,Romania only
Serbian census,2002,,"1,658",Serbia only
