city of licence,analog channel,digital channel,virtual channel,callsign,network,notes
Brandon,4.0,,,CKYB-TV,CTV,satellite of CKY-DT Winnipeg
Dauphin,12.0,,,CKYD-TV,CTV,satellite of CKY-DT Winnipeg
Fisher Branch,8.0,,,CKYA-TV,CTV,satellite of CKY-DT Winnipeg
Flin Flon,13.0,,,CKYF-TV,CTV,satellite of CKY-DT Winnipeg
Mccreary,13.0,,,CKYB-TV,CTV,satellite of CKY-DT Winnipeg
Minnedosa,2.0,,,CKND-TV-2,Global,
The Pas,12.0,,,CKYP-TV,CTV,satellite of CKY-DT Winnipeg
Portage la Prairie,,13.0,13.1,CHMI-DT,City,
Thompson,9.0,,,CKYT-TV,CTV,satellite of CKY-DT Winnipeg
Winnipeg,,51.0,3.1,CBWFT-DT,R-C,
Winnipeg,,27.0,6.1,CBWT-DT,CBC,
Winnipeg,,7.0,7.1,CKY-DT,CTV,
Winnipeg,,40.0,9.1,CKND-DT,Global,
Winnipeg,,13.0,13.1,CHMI-DT,City,MTS TV HD ch. 417 SHAW ch. 8 Bell ch. 228
Winnipeg,,35.0,35.1,CIIT-DT,Religious independent,
