Party,Votes,percentage,Seats,+/-
Swedish Social Democratic Party,"1,914,426",36.4,131.0,
Moderate Party,"1,204,926",22.9,82.0,2.0
Left Party,"631,011",12.0,43.0,21.0
Christian Democrats,"619,046",11.8,42.0,27.0
Centre Party,"269,762",5.1,18.0,
Liberal People's Party,"248,076",4.7,17.0,
Green Party,"236,699",4.5,16.0,
Sweden Democrats,"19,624",0.4,0.0,0.0
Other parties,"117,552",2.2,0.0,0.0
Invalid/blank votes,"113,466",,,
Total,"5,374,588",100.0,349.0,0.0
Registered voters/turnout,"6,603,129",81.4,,
