rank,title,studio,actors,gross
1.0,Star Wars*,Lucasfilm/20th Century Fox,"Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing, Alec Guinness, David Prowse, James Earl Jones, Anthony Daniels, Kenny Baker and Peter Mayhew","$460,998,007"
2.0,Smokey and the Bandit,Universal/Rastar,"Burt Reynolds, Sally Field, Jackie Gleason, Jerry Reed and Mike Henry","$300,000,000"
3.0,Close Encounters of the Third Kind*,Columbia,"Richard Dreyfuss, Teri Garr, Melinda Dillon and François Truffaut","$166,000,000"
4.0,Saturday Night Fever,Paramount,John Travolta and Karen Lynn Gorney,"$139,486,124"
5.0,The Goodbye Girl,MGM/Warner Bros./Rastar,"Richard Dreyfuss, Marsha Mason and Quinn Cummings","$102,000,000"
6.0,The Rescuers*,Disney,"voices of Eva Gabor, Bob Newhart and Geraldine Page","$71,215,869"
7.0,"Oh, God!",Warner Bros.,"George Burns, John Denver and Teri Garr","$51,061,196"
8.0,A Bridge Too Far,United Artists,"Dirk Bogarde, James Caan, Sean Connery, Elliott Gould, Laurence Olivier, Ryan O'Neal, Robert Redford, Liv Ullmann, Michael Caine, Edward Fox, Anthony Hopkins, Gene Hackman, Hardy Kruger and Maximilian Schell","$50,800,000"
9.0,The Deep,Columbia,"Robert Shaw, Nick Nolte and Jacqueline Bisset","$50,681,884"
10.0,The Spy Who Loved Me,United Artists,"Roger Moore, Barbara Bach, Curd Jurgens and Richard Kiel","$46,838,673"
11.0,Annie Hall,United Artists,Woody Allen and Diane Keaton,"$38,251,425"
12.0,Semi-Tough,United Artists,"Burt Reynolds, Kris Kristofferson and Jill Clayburgh","$37,187,139"
13.0,Pete's Dragon,Disney,"Helen Reddy, Mickey Rooney and Shelley Winters","$36,000,000"
14.0,The Gauntlet,Warner Bros.,Clint Eastwood and Sondra Locke,"$35,400,000"
15.0,The Turning Point,20th Century Fox,"Shirley MacLaine, Anne Bancroft, Tom Skerritt, Mikhail Baryshnikov and Leslie Browne","$33,600,000"
16.0,Heroes,Universal,"Henry Winkler, Sally Field, and Harrison Ford","$33,500,000"
17.0,High Anxiety,20th Century Fox,"Mel Brooks, Madeline Kahn, Cloris Leachman, Harvey Korman, Ron Carey, Howard Morris and Dick Van Patten","$31,063,038"
18.0,Exorcist II: The Heretic,Warner Bros.,"Linda Blair, Richard Burton, Louise Fletcher, Max von Sydow and James Earl Jones","$30,749,142"
19.0,Airport '77,Universal,"Jack Lemmon, Lee Grant and James Stewart","$30,000,000"
20.0,Herbie Goes to Monte Carlo,Disney,"Dean Jones, Don Knotts and Julie Sommars","$29,000,000"
21.0,Slap Shot,Universal,Paul Newman and Strother Martin,"$28,000,000"
22.0,The Other Side of Midnight,20th Century Fox,"Marie-France Pisier, John Beck and Susan Sarandon","$24,652,021"
23.0,Looking for Mr. Goodbar,Paramount,"Diane Keaton, Tuesday Weld and Richard Gere","$22,512,655"
24.0,For the Love of Benji,Mulberry Square,"Benjean, Patsy Garrett and Ed Nelson","$22,257,624"
25.0,The World's Greatest Lover,20th Century Fox,"Gene Wilder, Carol Kane and Dom DeLuise","$21,000,000"
26.0,Julia,20th Century Fox,"Jane Fonda, Vanessa Redgrave, Jason Robards, Hal Holbrook, Rosemary Murphy and Maximilian Schell","$20,714,400"
