num,name,hanzi,hanyu pinyin,population (2003 est ),area (km2),density (/km2)
1,Aimin District,爱民区,Àimin Qū,230000,359,641
2,Dong'an District,东安区,Dong'ān Qū,180000,566,318
3,Yangming District,阳明区,Yángming Qū,160000,358,447
4,Xi'an District,西安区,Xī'ān Qū,210000,325,646
5,Muling City,穆棱市,Mùling Shì,330000,6094,54
6,Suifenhe City,绥芬河市,Suifēnhe Shi,60000,427,141
7,Hailin City,海林市,Hǎilin Shì,440000,9877,45
8,Ning'an City,宁安市,Ning'ān Shì,440000,7870,56
9,Dongning County,东宁县,Dongning Xiàn,210000,7368,29
10,Linkou County,林口县,Linkǒu Xiàn,450000,7191,63
