Season,Skip,Third,Second,Lead
,Mirjam Ott,Marianne Flotron Manuela Kormann,Franziska von Känel,Caroline Balz
,Luzia Ebnöther,Mirjam Ott,Tanya Frei,Nadia Röthlisberger Laurence Bidaud
,Mirjam Ott,Binia Beeli,Brigitte Schori,Michele Knobel
,Mirjam Ott,Binia Beeli,Valeria Spälty,Michele Moser
,Mirjam Ott,Binia Feltscher-Beeli,Valeria Spälty,Janine Greiner
,Mirjam Ott,Carmen Schäfer,Valeria Spälty,Janine Greiner
,Mirjam Ott,Carmen Schäfer,Valeria Spälty,Janine Greiner
,Mirjam Ott,Carmen Schäfer,Carmen Kung,Janine Greiner
,Mirjam Ott,Carmen Schäfer,Carmen Kung,Janine Greiner
,Mirjam Ott,Carmen Schäfer,Carmen Kung,Janine Greiner
,Mirjam Ott,Carmen Schäfer,Carmen Kung,Janine Greiner
,Mirjam Ott,Carmen Schäfer,Carmen Kung,Janine Greiner
