division one,division two,division three
Whitehawk,Portfield,East Preston
Steyning Town,Shoreham,Oakwood
Steyning Town,Wick,Seaford Town
Arundel,Pagham,Langney Sports
Pagham,Langney Sports,Midway
Pagham,Seaford Town,Saltdean United
Wick,Bexhill Town,Worthing United
Littlehampton Town,Newhaven,Ifield
Peacehaven & Telscombe,Portfield,Hassocks
Peacehaven & Telscombe,Crowborough Athletic,Withdean
Wick,Shoreham,Bosham
Peacehaven & Telscombe,Mile Oak,Midhurst & Easebourne
Peacehaven & Telscombe,Saltdean United,Ifield
Burgess Hill Town,Littlehampton Town,Sidlesham
Burgess Hill Town,East Preston,Lingfield
Burgess Hill Town,Sidley United,Oving Social Club
Langney Sports,Sidlesham,Bosham
Sidley United,Southwick,Rye United
Burgess Hill Town,Rye & Iden United,Pease Pottage Village
Burgess Hill Town,Rye & Iden United,Midhurst & Easebourne
Chichester City United,Littlehampton Town,Crowborough Athletic
Horsham Y M C A,Crowborough Athletic,Storrington
Horsham Y M C A,Oakwood,Peacehaven & Telscombe
Eastbourne Town,Pagham,Rustington
Crowborough Athletic,East Grinstead Town,Loxwood
Eastbourne United Association,Peacehaven & Telscombe,Clymping
Whitehawk,Rye United,Bosham
Crawley Down,A.F.C. Uckfield,Dorking Wanderers
Three Bridges,East Preston,Newhaven
Peacehaven & Telscombe,Littlehampton Town,Sidlesham
