Name,metres,feet,Name.1,metres.1,feet.1
Marmolada,3343,10968,Pala di San Martino,2982,9831
Antelao,3264,10706,Rosengartenspitze / Catinaccio,2981,9781
Tofana di Mezzo,3241,10633,Marmarole,2961,9715
Punta Sorapis,3229,10594,Cima di Fradusta,2941,9649
Monte Civetta,3220,10564,Monte Agner,2872,9416
Vernel,3145,10319,Fermedaturm,2867,9407
Cristallo,3221,10568,Cima d'Asta,2848,9344
Cima di Vezzana,3192,10470,Cima di Canali,2846,9338
Cimon della Pala,3184,10453,Croda Grande,2839,9315
Langkofel / Sassolungo,3181,10427,Vajoletturm / Torri del Vajolet (highest),2821,9256
Pelmo,3169,10397,Sass Maor,2816,9239
Dreischusterspitze,3162,10375,Cima di Ball,2783,9131
Boespitze / Piz Boe (Sella group),3152,10342,Cima della Madonna (Sass Maor),2751,9026
Croda Rossa (Hohe Gaisl),3148,10329,Rosetta,2741,8993
Piz Popena,3143,10312,Croda da Lago,2716,8911
Grohmannspitze (Langkofel),3126,10256,Central Grasleitenspitze,2705,8875
Zwölferkofel,3094,10151,Schlern,2562,8406
Elferkofel,3092,10144,Sasso di Mur,2554,8380
Sass Rigais (Geislerspitzen),3025,9925,Cima delle Dodici,2338,7671
Kesselkogel (Rosengarten),3004,9856,Monte Pavione,2336,7664
Tre Cime di Lavaredo (Drei Zinnen),2999,9839,Cima di Posta,2235,7333
Funffingerspitze,2997,9833,Monte Pasubio,2232,7323
