name,county,population (2012 est ),population (2010),land area
Aberdeen,Grays Harbor,16529,16896,10.65 sq mi (27.6 km2)
Airway Heights,Spokane,6363,6114,5.63 sq mi (14.6 km2)
Algona,King,3074,3015,1.29 sq mi (3.3 km2)
Anacortes,Skagit,15928,15778,11.75 sq mi (30.4 km2)
Arlington,Snohomish,18317,17926,9.25 sq mi (24.0 km2)
Asotin,Asotin,1270,1251,1.05 sq mi (2.7 km2)
Auburn,King Pierce,73505,70180,29.62 sq mi (76.7 km2)
Bainbridge Island,Kitsap,23263,23025,27.61 sq mi (71.5 km2)
Battle Ground,Clark,18044,17571,7.16 sq mi (18.5 km2)
Bellevue,King,126439,122363,31.97 sq mi (82.8 km2)
Bellingham,Whatcom,82234,80885,27.08 sq mi (70.1 km2)
Benton City,Benton,3134,3038,2.46 sq mi (6.4 km2)
Bingen,Klickitat,724,712,0.62 sq mi (1.6 km2)
Black Diamond,King,4237,4151,6.01 sq mi (15.6 km2)
Blaine,Whatcom,4744,4684,5.63 sq mi (14.6 km2)
Bonney Lake,Pierce,17964,17374,7.94 sq mi (20.6 km2)
Bothell,King Snohomish,34651,33505,12.11 sq mi (31.4 km2)
Bremerton,Kitsap,39251,37729,28.41 sq mi (73.6 km2)
Brewster,Okanogan,2386,2370,1.19 sq mi (3.1 km2)
Bridgeport,Douglas,2444,2409,1.05 sq mi (2.7 km2)
Brier,Snohomish,6251,6087,2.13 sq mi (5.5 km2)
Buckley,Pierce,4402,4354,3.87 sq mi (10.0 km2)
Burien,King,49410,33313,7.42 sq mi (19.2 km2)
Burlington,Skagit,8470,8388,4.26 sq mi (11.0 km2)
Camas,Clark,20490,19355,13.49 sq mi (34.9 km2)
Carnation,King,1823,1786,1.16 sq mi (3.0 km2)
Cashmere,Chelan,3104,3063,1.03 sq mi (2.7 km2)
Castle Rock,Cowlitz,1983,1982,1.59 sq mi (4.1 km2)
Centralia,Lewis,16505,16336,7.42 sq mi (19.2 km2)
Chehalis,Lewis,7298,7259,5.53 sq mi (14.3 km2)
Chelan,Chelan,3945,3890,6.29 sq mi (16.3 km2)
Cheney,Spokane,11018,10590,4.27 sq mi (11.1 km2)
Chewelah,Stevens,2606,2607,2.98 sq mi (7.7 km2)
Clarkston,Asotin,7283,7229,2.01 sq mi (5.2 km2)
Cle Elum,Kittitas,1907,1872,3.82 sq mi (9.9 km2)
Clyde Hill,King,3047,2984,1.06 sq mi (2.7 km2)
Colfax,Whitman,2839,2805,3.79 sq mi (9.8 km2)
College Place,Walla Walla,8884,8765,2.66 sq mi (6.9 km2)
Colville,Stevens,4669,4673,2.93 sq mi (7.6 km2)
Connell,Franklin,5421,4209,7.87 sq mi (20.4 km2)
Cosmopolis,Grays Harbor,1643,1649,1.33 sq mi (3.4 km2)
Covington,King,18298,17575,5.86 sq mi (15.2 km2)
Davenport,Lincoln,1718,1734,1.82 sq mi (4.7 km2)
Dayton,Columbia,2509,2526,1.43 sq mi (3.7 km2)
Deer Park,Spokane,3673,3652,6.88 sq mi (17.8 km2)
Des Moines,King,30449,29673,6.50 sq mi (16.8 km2)
DuPont,Pierce,8808,8199,5.86 sq mi (15.2 km2)
Duvall,King,7183,6695,2.47 sq mi (6.4 km2)
East Wenatchee,Douglas,13439,13190,3.80 sq mi (9.8 km2)
Edgewood,Pierce,9501,9387,8.41 sq mi (21.8 km2)
Edmonds,Snohomish,40400,39709,8.91 sq mi (23.1 km2)
Electric City,Grant,1004,968,1.70 sq mi (4.4 km2)
Ellensburg,Kittitas,18348,18174,6.92 sq mi (17.9 km2)
Elma,Grays Harbor,3095,3107,1.89 sq mi (4.9 km2)
Entiat,Chelan,1129,1112,2.11 sq mi (5.5 km2)
Enumclaw,King Pierce,11327,10669,4.26 sq mi (11.0 km2)
Ephrata,Grant,7916,7664,10.09 sq mi (26.1 km2)
Everett,Snohomish,104655,103019,33.45 sq mi (86.6 km2)
Everson,Whatcom,2513,2481,1.24 sq mi (3.2 km2)
Federal Way,King,91933,89306,22.26 sq mi (57.7 km2)
Ferndale,Whatcom,11998,11415,6.61 sq mi (17.1 km2)
Fife,Pierce,9333,9173,5.68 sq mi (14.7 km2)
Fircrest,Pierce,6579,6497,1.58 sq mi (4.1 km2)
Forks,Clallam,3552,3532,3.65 sq mi (9.5 km2)
George,Grant,514,501,1.33 sq mi (3.4 km2)
