unnamed: 0,monday,tuesday,wednesday,thursday,friday
6.3,Diário da Manhã (Morning Diary) - breakfast news show,Diário da Manhã (Morning Diary) - breakfast news show,Diário da Manhã (Morning Diary) - breakfast news show,Diário da Manhã (Morning Diary) - breakfast news show,Diário da Manhã (Morning Diary) - breakfast news show
10.15,Você na TV (You on TV) - talk show,Você na TV (You on TV) - talk show,Você na TV (You on TV) - talk show,Você na TV (You on TV) - talk show,Você na TV (You on TV) - talk show
13.0,Jornal da Uma (News at One) - afternoon newscast,Jornal da Uma (News at One) - afternoon newscast,Jornal da Uma (News at One) - afternoon newscast,Jornal da Uma (News at One) - afternoon newscast,Jornal da Uma (News at One) - afternoon newscast
14.3,A Outra (The Other) - Portuguese telenovela (soap opera),A Outra (The Other) - Portuguese telenovela (soap opera),A Outra (The Other) - Portuguese telenovela (soap opera),A Outra (The Other) - Portuguese telenovela (soap opera),A Outra (The Other) - Portuguese telenovela (soap opera)
16.0,A Tarde e Sua (The Afternoon is Yours) - talk show,A Tarde e Sua (The Afternoon is Yours) - talk show,A Tarde e Sua (The Afternoon is Yours) - talk show,A Tarde e Sua (The Afternoon is Yours) - talk show,A Tarde e Sua (The Afternoon is Yours) - talk show
18.0,Doce Fugitiva (Sweet Fugitive) - Portuguese telenovela (soap opera),Doce Fugitiva (Sweet Fugitive) - Portuguese telenovela (soap opera),Doce Fugitiva (Sweet Fugitive) - Portuguese telenovela (soap opera),Doce Fugitiva (Sweet Fugitive) - Portuguese telenovela (soap opera),Doce Fugitiva (Sweet Fugitive) - Portuguese telenovela (soap opera)
18.3,I Love It - Portuguese telenovela (serie),I Love It - Portuguese telenovela (serie),I Love It - Portuguese telenovela (serie),I Love It - Portuguese telenovela (serie),I Love It - Portuguese telenovela (serie)
19.3,Secret Story - Casa Dos Segredos Desafio Final - Diário da Tarde - Reality Show,Secret Story - Casa Dos Segredos Desafio Final - Diário da Tarde - Reality Show,Secret Story - Casa Dos Segredos Desafio Final - Diário da Tarde - Reality Show,Secret Story - Casa Dos Segredos Desafio Final - Diário da Tarde - Reality Show,Secret Story - Casa Dos Segredos Desafio Final - Diário da Tarde - Reality Show
20.0,Jornal das 8 (News at Eight) - TVI's flagship newscast,Jornal das 8 (News at Eight) - TVI's flagship newscast,Jornal das 8 (News at Eight) - TVI's flagship newscast,Jornal das 8 (News at Eight) - TVI's flagship newscast,Jornal das 8 (News at Eight) - TVI's flagship newscast
21.45,Secret Story - Casa Dos Segredos Desafio Final - Diário da Noite - Reality Show,Secret Story - Casa Dos Segredos Desafio Final - Diário da Noite - Reality Show,Secret Story - Casa Dos Segredos Desafio Final - Diário da Noite - Reality Show,Secret Story - Casa Dos Segredos Desafio Final - Diário da Noite - Reality Show,Secret Story - Casa Dos Segredos Desafio Final - Diário da Noite - Reality Show
22.15,Belmonte - Portuguese telenovela (soap opera),Belmonte - Portuguese telenovela (soap opera),Belmonte - Portuguese telenovela (soap opera),Belmonte - Portuguese telenovela (soap opera),Belmonte - Portuguese telenovela (soap opera)
23.15,Destinos Cruzados (Crossed Destinies) - Portuguese telenovela (soap opera),Destinos Cruzados (Crossed Destinies) - Portuguese telenovela (soap opera),Destinos Cruzados (Crossed Destinies) - Portuguese telenovela (soap opera),Destinos Cruzados (Crossed Destinies) - Portuguese telenovela (soap opera),Destinos Cruzados (Crossed Destinies) - Portuguese telenovela (soap opera)
0.15,Secret Story 4 - Casa Dos Segredos Desafio Final - Extra - Reality Show,Secret Story 4 - Casa Dos Segredos Desafio Final - Extra - Reality Show,Secret Story 4 - Casa Dos Segredos Desafio Final - Extra - Reality Show,Secret Story 4 - Casa Dos Segredos Desafio Final - Extra - Reality Show,Secret Story 4 - Casa Dos Segredos Desafio Final - Extra - Reality Show
1.45,various U.S. TV series / movies,various U.S. TV series / movies,various U.S. TV series / movies,various U.S. TV series / movies,various U.S. TV series / movies
5.0,TV Shop - infomercials,TV Shop - infomercials,TV Shop - infomercials,TV Shop - infomercials,TV Shop - infomercials
