Name of place,Counties,Principal county,Lower zip code
Cabinhill,1,Delaware County,13752.0
Cadiz,1,Cattaraugus County,14737.0
Cadosia,1,Delaware County,13783.0
Cadyville,1,Clinton County,12918.0
Cagwin Corners,1,Oneida County,
Cahoonzie,1,Orange County,12780.0
Cains Corners,1,Oswego County,
Cairo,1,Greene County,12413.0
Cairo Junction,1,Greene County,
Calciana,1,Wayne County,
Calcium,1,Jefferson County,13616.0
Calcutta,1,Otsego County,12064.0
Caldwell,1,Warren County,
Caledonia,1,Livingston County,14423.0
Caledonia,1,Livingston County,
Calico Colony,1,Saratoga County,12065.0
Callanans Corners,1,Albany County,12143.0
Callicoon,1,Sullivan County,12723.0
Callicoon Center,1,Sullivan County,12724.0
Calverton,1,Suffolk County,11933.0
Calverton-Roanoke,1,Suffolk County,
Cambria,1,Niagara County,
Cambria Center,1,Niagara County,
Cambria Heights,1,Queens County,11411.0
Cambridge,1,Washington County,12816.0
Cambridge,1,Washington County,
Camby,1,Dutchess County,
Camden,1,Oneida County,13316.0
Camden,1,Oneida County,
Cameron,1,Steuben County,14819.0
Cameron,1,Steuben County,
Cameron Mills,1,Steuben County,14820.0
Camillus,1,Onondaga County,13031.0
Camillus,1,Onondaga County,
Campbell,1,Madison County,
Campbell,1,Steuben County,14821.0
Campbell Hall,1,Orange County,10916.0
Campbell Hall Junction,1,Orange County,
Camp Drum,1,Jefferson County,13602.0
Camp Hemlock,1,Sullivan County,12721.0
Camp Hill,1,Rockland County,10970.0
Camp Lakeland,1,Erie County,
Camp Pioneer,1,Erie County,
Camps Mills,1,Jefferson County,13601.0
Campville,1,Tioga County,13760.0
Camroden,1,Oneida County,13440.0
Canaan,1,Columbia County,12029.0
Canaan Center,1,Columbia County,12029.0
Canada Lake,1,Fulton County,12032.0
Canadice,1,Ontario County,14560.0
Canadice,1,Ontario County,
Canajoharie,1,Montgomery County,13317.0
Canajoharie,1,Montgomery County,
Canal Street,1,New York County,10013.0
Canandaigua,1,Ontario County,14424.0
Canandaigua,1,Ontario County,
Canarsie,1,Kings County,11236.0
Canaseraga,1,Allegany County,14822.0
Canastota,1,Madison County,13032.0
Canawaugus,1,Livingston County,14423.0
Candor,1,Tioga County,13743.0
Caneadea,1,Allegany County,14717.0
Canisteo,1,Steuben County,14823.0
Canisteo,1,Steuben County,
Canisteo Center,1,Steuben County,
Cannon Corners,1,Clinton County,12959.0
Canoe Place,1,Suffolk County,11946.0
Canoga,1,Seneca County,13148.0
Canoga Springs,1,Seneca County,
Canterbury Hill,1,Oneida County,13440.0
Canton,1,St. Lawrence County,13617.0
Cape Vincent,1,Jefferson County,13618.0
Cape Vincent,1,Jefferson County,
Capitol,1,Albany County,12224.0
Capitol Annex,1,Albany County,12225.0
Capitol Hills,1,Orange County,10950.0
Captain Kidd Estates,1,Suffolk County,11952.0
Cardiff,1,Onondaga County,13084.0
Cards Corners,1,Onondaga County,
Cardtown,1,Otsego County,
Careys Corners,1,Oneida County,
Carle Place,1,Nassau County,11514.0
Carle Terrace,1,Ulster County,12449.0
Carley Mills,1,Oswego County,
Carlisle,1,Schoharie County,12031.0
Carlisle,1,Schoharie County,
Carlisle Center,1,Schoharie County,12035.0
Carlisle Gardens,1,Niagara County,14094.0
Carlton,1,Orleans County,14411.0
Carlton,1,Orleans County,
Carman,1,Schenectady County,12303.0
Carmel,1,Putnam County,10512.0
Carmel,1,Putnam County,
Carmel Hamlet,1,Putnam County,
Carmel Hills,1,Putnam County,
Carmel Park Estates,1,Putnam County,10512.0
Carmen,1,Albany County,12303.0
