Region/Country,1882- 1918,1919- 1948,1948- 1951,1952- 1960,1961- 1971,1972- 1979,1980- 1989,1990- 2001,2002- 2010,2011- 2013,Total
Africa,,11180.0,96272.0,143706.0,165372.0,20109.0,28822,55560,31419.0,7755.0,560195
Algeria,,357.0,3810.0,3433.0,12857.0,2137.0,1830,1682,1967.0,167.0,27035
Egypt and Sudan,,4020.0,16514.0,17521.0,2963.0,535.0,372,202,166.0,14.0,42307
"Ethiopia, Eritrea and Abyssinia",,,10.0,59.0,98.0,306.0,16965,45126,23613.0,6368.0,92840
Libya,,1300.0,30972.0,2079.0,2466.0,219.0,67,94,36.0,5.0,37138
Morocco,,1500.0,30750.0,95945.0,130507.0,7780.0,3809,3276,2113.0,95.0,275261
South Africa,,259.0,683.0,995.0,4270.0,6443.0,3739,3229,1546.0,531.0,21695
Tunisia,,1200.0,13293.0,23569.0,11566.0,2148.0,1942,1607,1871.0,250.0,57594
Zimbabwe,,,37.0,22.0,145.0,393.0,82,26,22.0,3.0,722
Other (Africa),,1907.0,203.0,83.0,500.0,148.0,16,318,85.0,19.0,2702
Americas and Oceania,,9872.0,4735.0,8584.0,53492.0,53706.0,43650,44302,48660.0,10445.0,277446
Argentina,,238.0,1148.0,3921.0,15203.0,15235.0,11359,11673,10147.0,766.0,69690
Australia,,,116.0,107.0,742.0,1146.0,835,977,365.0,188.0,4565
Bolivia,,,0.0,0.0,199.0,94.0,80,53,84.0,11.0,521
Brazil,,,304.0,763.0,2601.0,1763.0,1763,2356,2037.0,480.0,12271
Canada,,316.0,236.0,276.0,2169.0,2178.0,1867,1963,1700.0,638.0,11673
Central America (other countries which are not specifically mentioned here),,,17.0,43.0,129.0,104.0,8,153,157.0,,611
Chile,,,48.0,401.0,1790.0,1180.0,1040,683,589.0,82.0,5813
Colombia,,,0.0,0.0,415.0,552.0,475,657,965.0,206.0,3270
Cuba,,,14.0,88.0,405.0,79.0,42,629,606.0,118.0,1981
Ecuador,,,0.0,0.0,40.0,38.0,44,67,69.0,9.0,267
Mexico,,,48.0,168.0,736.0,861.0,993,1049,697.0,238.0,4790
New Zealand,,,70.0,13.0,91.0,129.0,124,142,42.0,9.0,620
Panama,,,0.0,0.0,64.0,43.0,48,50,40.0,10.0,255
Peru,,,0.0,0.0,269.0,243.0,358,612,1539.0,116.0,3137
South America (other countries which are not specifically mentioned here),,,42.0,194.0,89.0,62.0,0,66,96.0,,549
United States,,9000.0,2265.0,2182.0,26261.0,27552.0,22408,21727,27199.0,7558.0,146152
Uruguay,,,66.0,425.0,1844.0,2199.0,2014,983,1555.0,194.0,9280
Venezuela,,,0.0,0.0,297.0,245.0,180,418,602.0,123.0,1865
Other (Americas/Oceania),,318.0,313.0,0.0,148.0,3.0,8,44,12.0,238.0,1084
Asia,,80027.0,242200.0,37119.0,56208.0,19456.0,91433,184245,22845.0,2271.0,736354
Afghanistan,,1600.0,2303.0,1106.0,516.0,132.0,57,21,13.0,,5648
Armenia,,,0.0,0.0,0.0,0.0,0,1935,312.0,71.0,2278
Azerbaijan,,,0.0,0.0,0.0,1800.0,25000,33453,2142.0,295.0,62691
Burma,,,0.0,0.0,0.0,147.0,83,383,138.0,,784
China,,,5000.0,217.0,96.0,43.0,78,277,84.0,21.0,5320
Cyprus,,,21.0,35.0,28.0,21.0,12,32,0.0,3.0,151
Georgia,,,0.0,0.0,0.0,1700.0,35000,21134,4111.0,586.0,61531
"India, Pakistan, Bangladesh, and Sri Lanka",,250.0,2176.0,5380.0,13110.0,3497.0,1539,2055,961.0,68.0,29036
Iran,1760.0,6000.0,21910.0,15699.0,19502.0,9550.0,8487,4326,1097.0,97.0,88428
Iraq,,8000.0,123371.0,2989.0,3509.0,939.0,111,1325,130.0,8.0,140374
Israel,,,411.0,868.0,1021.0,507.0,288,1148,1448.0,201.0,5892
Japan,,,0.0,9.0,25.0,34.0,57,98,32.0,2.0,257
Jordan,,,6.0,9.0,23.0,6.0,9,15,0.0,0.0,68
Kazakhstan,,,0.0,0.0,0.0,0.0,0,17764,2498.0,298.0,20558
Kyrgyzstan,,,0.0,0.0,0.0,0.0,0,4660,608.0,103.0,5366
"Indonesia, Malaysia, and the Philippines",,,101.0,46.0,54.0,40.0,60,205,42.0,10.0,551
Lebanon,,,235.0,846.0,2208.0,564.0,179,96,34.0,5.0,4167
"Mongolia, South Korea, and North Korea",,,0.0,0.0,4.0,5.0,10,100,36.0,,155
Saudi Arabia,,,177.0,0.0,4.0,0.0,5,0,0.0,0.0,186
