date,opponentnum,ranknum,site,attendance
September 11,Baylor*,#14,"Ohio Stadium • Columbus, OH",88622
September 18,at Michigan State,#12,"Spartan Stadium • East Lansing, MI",73483
September 25,Stanford*,#13,"Ohio Stadium • Columbus, OH",89436
October 2,Florida State*,,"Ohio Stadium • Columbus, OH",89491
October 9,Wisconsin,,"Ohio Stadium • Columbus, OH",88344
October 16,at #15 Illinois,,"Memorial Stadium • Champaign, IL",73488
October 23,at Indiana,,"Memorial Stadium • Bloomington, IN",52040
October 30,Purdue,,"Ohio Stadium • Columbus, OH",89341
November 6,Minnesota,,"Ohio Stadium • Columbus, OH",87666
November 13,at Northwestern,,"Dyche Stadium • Evanston, IL",30074
November 20,#13 Michigan,,"Ohio Stadium • Columbus, OH",90252
December 17,vs. BYU*,#17,"Jack Murphy Stadium • San Diego, CA (Holiday Bowl)",52533
