stamp issue date,stamp set,numcards,card set ref,qty issued
16 May 1973,,one,PHQ 1,20000
15 August 1973,"400th Anniversary, birth of Inigo Jones",one,PHQ 2,20000
12 September 1973,19th Commonwealth Parliamentary Conference,one,PHQ 3,15200
14 November 1973,Royal Wedding (The Princess Anne),one,PHQ 4,290000
27 February 1974,British Trees,one,PHQ 5,16750
24 April 1974,Fire Service Anniversary,one,PHQ 6,30000
10 July 1974,Medieval Warriors,four,PHQ 7,31750
9 October 1974,Winston Churchill Centenary,one,PHQ 8,114430
19 February 1975,"Bicentenary, birth J. M. W. Turner",one,PHQ 9,46250
23 April 1975,European Architectural Year,three,PHQ 10,51000
11 June 1975,Sailing,one,PHQ 11,41350
13 August 1975,150th Anniversary of Public Railways,four,PHQ 12,47500
22 October 1975,Jane Austen Bicentenary,four,PHQ 13,27330
28 April 1976,Social Reformers,one,PHQ 14,38350
2 June 1976,American Bicentenary,one,PHQ 15,60950
30 June 1976,Roses,four,PHQ 16,34250
