Rank,City,Passengers,Ranking,Airline
1,"Quintana Roo, Cancún",132046,,"Aeromexico Connect, Interjet, Volaris"
2,"Nuevo Leon, Monterrey",106513,,"Aeromexico Connect, Interjet"
3,"Guerrero, Acapulco",56069,,"Aeromexico Connect, Interjet"
4,"Jalisco, Guadalajara",52584,,"Aeromexico Connect, Volaris"
5,"Jalisco, Puerto Vallarta",43419,1.0,Interjet
6,"Baja California Sur, Los Cabos",37526,1.0,Interjet
7,"Guerrero, Ixtapa/Zihuatanejo",35507,,Interjet
8,"Baja California, Tijuana",14906,,Interjet
9,"Tabasco, Villahermosa",6928,1.0,VivaAerobus
10,"Tamaulipas, Tampico",3619,1.0,VivaAerobus
