Year(s),Serial Name,Role,Co-Star,Note(s),Channel
,Saat Phere,Nahar Singh(Male Lead),Rajshree Thakur,,Zee TV
2010.0,Sarvggun Sampanna,Abhay(Cameo),--,,Imagine TV
,Bairi Piya,Thakur Digvijay Singh Bhadoria /Ranveer(Male Lead),Supriya Kumari,,Colors (TV channel)
2009.0,Pati Patni Aur Woh,Himself,--,He was the host of the show.,Imagine TV
2007.0,Sa Re Ga Ma Pa Challenge 2007,Himself,Mauli Dave,He was the host of the show.,Zee TV
2006.0,Nach Baliye 2,Himself,Keerti Gaekwad Kelkar,,Star One
,Sinndoor Tere Naam Ka,Rudra Raizada(Male Lead),Keerti Gaekwad Kelkar,,Zee TV
2011.0,Uttaran,Satya,"Tina Dutta,Nandish Sandhu",,Colors TV
,Kuch Toh Log Kahenge,Dr. Ashutosh(Male Lead),Kritika Kamra,He replaced Mohnish Bahl.,Sony Entertainment Television India
,Shaitaan - A Criminal Mind,Host,,,Colors TV
