Goal,Date,Venue,Opponent,Score,Result,Competition
1.0,12 August 1998,"Asim Ferhatović Hase Stadium, Sarajevo",Faroe Islands,,,UEFA Euro 2000 qualifying
2.0,14 October 1998,"Žalgiris Stadium, Vilnius",Lithuania,,,UEFA Euro 2000 qualifying
3.0,9 October 1999,"Kadriorg Stadium, Tallinn",Estonia,,,UEFA Euro 2000 qualifying
4.0,9 October 1999,"Kadriorg Stadium, Tallinn",Estonia,,,UEFA Euro 2000 qualifying
5.0,9 October 1999,"Kadriorg Stadium, Tallinn",Estonia,,,UEFA Euro 2000 qualifying
6.0,9 October 1999,"Kadriorg Stadium, Tallinn",Estonia,,,UEFA Euro 2000 qualifying
7.0,2 September 2000,"Asim Ferhatović Hase Stadium, Sarajevo",Spain,1-1,,2002 FIFA World Cup qualification
8.0,15 August 2001,"Asim Ferhatović Hase Stadium, Sarajevo",Malta,,,Friendly match
9.0,15 August 2001,"Asim Ferhatović Hase Stadium, Sarajevo",Malta,,,Friendly match
10.0,7 October 2001,"Asim Ferhatović Hase Stadium, Sarajevo",Liechtenstein,,,2002 FIFA World Cup qualification
11.0,7 October 2001,"Asim Ferhatović Hase Stadium, Sarajevo",Liechtenstein,,,2002 FIFA World Cup qualification
12.0,11 October 2002,"Asim Ferhatović Hase Stadium, Sarajevo",Germany,,,Friendly match
13.0,13 February 2003,"Millennium Stadium, Cardiff",Wales,,,Friendly match
14.0,2 April 2003,"Parken Stadium, Copenhagen",Denmark,,,UEFA Euro 2004 qualifying
