Team,Location,Venue,Capacity,Position in 1993-94
Dinamo Minsk,Minsk,"Dinamo, Minsk",41040,1
Dinamo-93,Minsk,"Dinamo, Minsk",41040,2
Dvina,Vitebsk,"Central, Vitebsk",8300,3
Dnepr,Mogilev,"Spartak, Mogilev",11200,4
Bobruisk,Bobruisk,"Spartak, Bobruisk",3550,5
Torpedo Minsk,Minsk,"Torpedo, Minsk",5200,6
Shinnik,Bobruisk,"Spartak, Bobruisk",3550,7
Dinamo Brest,Brest,"Dinamo, Brest",10080,8
Molodechno,Molodechno,"City Stadium, Molodechno",5500,9
Lokomotiv,Vitebsk,"Central, Vitebsk",8300,10
Neman,Grodno,Neman,6300,11
Vedrich,Rechytsa,"Central, Rechytsa",3550,12
Shakhtyor,Soligorsk,Stroitel,5000,13
Torpedo Mogilev,Mogilev,"Torpedo, Mogilev",3500,14
Gomselmash,Gomel,"Central, Gomel",11800,15
Obuvshchik,Lida,"City Stadium, Lida",4000,"First league, 1"
