year,title,rol,format,related links
2010.0,Ninas mal (telenovela),Piti,Telenovela,http://www.novelamtv.com/
2010.0,Soy tu fan (Mexico),Actor,Serie,https://www.youtube.com/watch?v=hnCb5GG0E2U
2010.0,Yo Te Estare Cuidando,Camilo,Short Film,
2009.0,Infinito,,Short Film,
2009.0,Me Mueves 2° Temporada,Arturo,Serie,https://www.youtube.com/watch?v=fNE5WHZ_tt8&feature=related
2008.0,Me Mueves 1° Temporada,Arturo,Serie,https://www.youtube.com/watch?v=lj2Q6rrOK1k
2008.0,La Carretera Es Blanca Y Llana,Peru,Short Film,https://www.youtube.com/watch?v=GKehxHZ16rs
2007.0,La Zona,Alejandro,Feature Film,https://www.youtube.com/watch?v=W5SzXJe-NMk
,Skimo,Fito,Serie,https://www.youtube.com/watch?v=w_6cn3BajE0&feature=related
2006.0,La Vida Inmune,Malhora,Feature Film,https://www.youtube.com/watch?v=PQt4RU3usnw
2005.0,Cuentos De Pelos,,Serie,
2005.0,Quinceanera,,Feature Film,
2004.0,El Divan De Valentina,Dj,Serie,
2001.0,Perros Patinadores,,Short Film,
,Bizbirije,"Differentes personajes en \No es Justo\"" y \""Ponte Bizbo\""""",Capsulas,https://www.youtube.com/watch?v=M7YCuvFbFJ0
