n,p,nat ,name,age,moving from,type,transfer window,ends,transfer fee
20.0,RW,POR,Nuno Capucho,31,Porto,Transfer,Summer,2005,0.67m
15.0,CB,Georgia,Zurab Khizanishvili,21,Dundee,Transfer,Summer,2006,Free
16.0,LB,ITA,Paolo Vanoli,30,Bologna,Transfer,Summer,2005,Free
25.0,CB,NOR,Henning Berg,33,Blackburn Rovers,Transfer,Summer,2004,Free
4.0,CM,BRA,Emerson,31,Atletico Madrid,Transfer,Summer,2005,Free
9.0,CF,NOR,Egil Østenstad,31,Blackburn Rovers,Transfer,Summer,2004,Free
37.0,LM,TUN,Hamed Namouchi,19,Cannes,Transfer,,2005,Free
,CM,FRA,Marc Kalenga,18,Auxerre,Transfer,,2004,Free
11.0,CM,SCO,Gavin Rae,26,Dundee,Transfer,Winter,2007,0.25m
5.0,CB,NED,Frank de Boer,33,Galatasaray,Transfer,Winter,2004,Free
52.0,CF,MKD,Bajram Fetai,18,B.93,Transfer,Winter,2006,0.2m
