position,song title,artist,sales,highest position
1,Unchained Melody/White Cliffs of Dover,Robson Green & Jerome Flynn,1844000,1
2,Gangsta's Paradise,Coolio featuring L.V.,1110000,1
3,I Believe/Up on the Roof,Robson Green & Jerome Flynn,1049000,1
4,Back for Good,Take That,960000,1
5,Think Twice,Celine Dion,928000,1
6,Fairground,Simply Red,782000,1
7,You Are Not Alone,Michael Jackson,714000,1
8,Earth Song,Michael Jackson,802000,1
9,Missing,Everything but the Girl,696000,3
10,Wonderwall,Oasis,665000,2
11,Boom Boom Boom,Outhere Brothers,652000,1
12,Country House,Blur,642000,1
13,Father and Son,Boyzone,620000,2
14,Don't Stop (Wiggle Wiggle),Outhere Brothers,617000,1
15,Boombastic,Shaggy,557000,1
16,Cotton Eye Joe,Rednex,512000,1
17,Set You Free,N-Trance,503000,2
18,Living Next Door to Alice,Smokie featuring Roy Chubby Brown,495000,3
19,"Hold Me, Thrill Me, Kiss Me, Kill Me",U2,471000,2
20,Roll with It,Oasis,456000,2
21,Guaglione,Perez 'Prez' Prado & his Orchestra,445000,2
22,I'll Be There for You,The Rembrandts,421000,3
23,Two Can Play That Game,Bobby Brown,413000,3
24,Here Comes The Hotstepper,Ini Kamoze,407000,4
25,Shy Guy,Diana King,405000,2
26,It's Oh So Quiet,Björk,404000,4
27,Never Forget,Take That,403000,1
28,Don't Give Me Your Life,Alex Party,395000,2
29,Waterfalls,TLC,355000,4
30,Scatman (Ski Ba Bop Ba Dop Bop),Scatman John,352000,2
31,Some Might Say,Oasis,346000,1
32,You'll See,Madonna,342000,5
33,Thunder,East 17,339000,4
34,Stayin' Alive,N-Trance featuring Ricardo Da Force,335000,2
35,I'd Lie for You (And That's the Truth),Meat Loaf,334000,2
36,Common People,Pulp,326000,2
37,Fantasy,Mariah Carey,323000,4
38,I've Got a Little Something For You,MN8,317000,2
39,Kiss From A Rose/I'm Alive,Seal,310000,4
40,Dreamer,Livin' Joy,303000,1
