stage,date,route,terrain,length,winner
P,1 July,Fontenay-sous-Bois,Individual time trial,6 km (3.7 mi),Eric Vanderaerden (BEL)
1,2 July,,Plain stage,163 km (101 mi),Frits Pirard (NED)
2,3 July,,Team time trial,100 km (62 mi),Mercier
3,4 July,,Hilly stage,152 km (94 mi),Rudy Matthijs (BEL)
4,5 July,,Plain stage,300 km (190 mi),Serge Demierre (SUI)
5,6 July,,Plain stage,257 km (160 mi),Dominique Gaigne (FRA)
6,7 July,,Individual time trial,58 km (36 mi),Bert Oosterbosch (NED)
7,8 July,,Plain stage,216 km (134 mi),Riccardo Magrini (ITA)
8,9 July,,Plain stage,222 km (138 mi),Bert Oosterbosch (NED)
9,10 July,,Plain stage,207 km (129 mi),Philippe Chevallier (FRA)
10,11 July,,Stage with mountain(s),201 km (125 mi),Robert Millar (GBR)
11,12 July,,Plain stage,177 km (110 mi),Regis Clere (FRA)
12,13 July,,Plain stage,261 km (162 mi),Kim Andersen (DEN)
13,14 July,,Hilly stage,210 km (130 mi),Henk Lubberding (NED)
14,15 July,,Hilly stage,149 km (93 mi),Pierre Le Bigaut (FRA)
15,16 July,,Individual time trial,16 km (9.9 mi),Ángel Arroyo (ESP)
16,17 July,,Hilly stage,144 km (89 mi),Michel Laurent (FRA)
17,18 July,,Stage with mountain(s),223 km (139 mi),Peter Winnen (NED)
18,20 July,,Stage with mountain(s),247 km (153 mi),Jacques Michaud (FRA)
19,21 July,,Individual time trial,15 km (9.3 mi),Lucien Van Impe (BEL)
20,22 July,,Plain stage,291 km (181 mi),Philippe Leleu (FRA)
21,23 July,Dijon,Individual time trial,50 km (31 mi),Laurent Fignon (FRA)
22,24 July,,Plain stage,195 km (121 mi),Gilbert Glaus (SUI)
