title,release,consoles,handheld,pc,arcade
NFL Blitz,"1997, 1998","N64, PS",GBC,Windows,Arcade
NFL Blitz '99,1998,,,,Arcade
NFL Blitz 2000,1999,"N64, PS, Dreamcast",GBC,Windows,
NFL Blitz 2000 Gold Edition,1999,,,,Arcade
NFL Blitz 2001,2000,"N64, PS, Dreamcast",GBC,Windows,
NFL Blitz Special Edition,2001,N64,,,
NFL Blitz 20-02,2001,"PS2, Xbox, NGC",GBA,,
NFL Blitz 20-03,2002,"PS2, Xbox, NGC",GBA,,
NFL Blitz Pro,2003,"PS2, Xbox, NGC",,,
Blitz: The League,2005,"PS2, Xbox, PS3, Xbox 360",,,
Blitz: The League II,2008,"PS3, Xbox 360",,,
NFL Blitz,2012,"PS3, Xbox 360",,,
