position,driver / passenger,equipment,points,wins,second,third
1,Daniël Willemsen /  Reto Grutter,Zabel-VMC,375,15.0,,
2,Jan Hendrickx / Tim Smeuninx,Zabel-VMC,286,,2.0,7.0
3,Kristers Sergis / Kaspars Stupelis,KTM-Mefo,242,1.0,8.0,1.0
4,Andy Burgler / Martin Betschart,KTM-VMC,196,,,2.0
5,Vaclav Rozehnal / Marek Rozehnal,Zabel-VMC,191,,,
6,Maris Rupeiks / Haralds Kurpnieks,KTM-AYR,184,,4.0,1.0
7,Marco Happich /  Meinrad Schelbert,Zabel-VMC,180,,1.0,1.0
8,Joris Hendrickx / Eli Piccart,KTM-AYR,177,,,1.0
9,Tomas Cermak / Ondrej Cermak,JAWA-Mefo,153,,,
10,Janis Daiders / Lauris Daiders,KTM-AYR,148,,,
