Name,Unnamed: 1,Local names,Sort,"Canton(s), neighboring countries",Area in km2,Elevation m,max. depth in meter
Lake Geneva,,"Lac Leman, Lac de Geneve",Geneva,"Geneva, Vaud, Valais, France",580.03,372.0,310.0
Lake Constance,,Bodensee,Constance,"St. Gallen, Thurgau, Austria, Germany",536.0,395.6,252.0
Lake Neuchâtel,,"Lac de Neuchâtel, Neuenburgersee",Neuchâtel,"Berne, Fribourg, Neuchâtel, Vaud",215.2,429.4,153.0
Lake Maggiore,,Lago Maggiore,Maggiore,"Ticino, Italy",210.12,193.5,372.0
Lake Lucerne,,Vierwaldstättersee,Lucerne,"Lucerne, Nidwalden, Obwalden, Schwyz, Uri",113.72,433.6,214.0
Lake Zurich,,Zurichsee,Zurich,"St. Gallen, Schwyz, Zurich",88.17,405.9,136.0
Lake Lugano,,"Ceresio, Lago di Lugano",Lugano,"Ticino, Italy",48.67,270.5,288.0
Lake Thun,,Thunersee,Thun,Berne,47.74,557.8,215.0
Lake Biel,,"Lac de Bienne, Bielersee",Biel/Bienne,"Berne, Neuchâtel",39.51,429.1,74.0
Lake Zug,,Zugersee,Zug,"Lucerne, Schwyz, Zug",38.41,413.6,198.0
Lake Brienz,,Brienzersee,Brienz,Berne,29.81,563.7,260.0
Lake Walen,,Walensee,Walen,"Glarus, St. Gallen",24.16,419.0,150.0
Lake Murten,,"Murtensee, Lac de Morat",Murten,"Fribourg, Vaud",22.8,429.2,46.0
Lake Sempach,,Sempachersee,Sempach,Lucerne,14.36,503.8,87.0
Sihlsee,,Sihlsee,Sihl,Schwyz,10.72,889.0,23.0
Lake Hallwil,,Hallwilersee,Hallwil,"Aargau, Lucerne",10.21,448.7,47.0
Lac de la Gruyere,↑,Lac de la Gruyere,Gruyere,Fribourg,9.6,677.0,75.0
Lac de Joux and Lac Brenet,*,Lac de Joux and Lac Brenet,Joux,Vaud,9.56,1004.0,34.0
Greifensee,,Greifensee,Greifensee,Zurich,8.17,435.1,34.0
Lake Sarnen,,Sarnersee,Sarnen,Obwalden,7.38,468.4,52.0
Ägerisee,,Ägerisee,Aegeri,Zug,7.25,723.9,82.0
Lake Baldegg,,Baldeggersee,Baldegg,Lucerne,5.24,463.0,66.0
Lago di Livigno,↑,Lago di Livigno,Livignio,"Italy, Grisons",4.71,1805.0,119.0
Schiffenensee,↑,"Schiffenensee, Lac de Schiffenen",Schiffenen,Fribourg,4.25,532.0,38.0
Wägitalersee,↑,Wägitalersee,Waegital,Schwyz,4.18,900.0,65.0
Lago di Lei,↑,Lago di Lei,Lei,"Italy, Grisons",4.12,1931.0,133.0
Lake Sils,,"Silsersee, Lej da Segl",Sils,Grisons,4.1,1797.0,71.0
Lac des Dix,↑,Lac des Dix,Dix,Valais,3.65,2365.0,227.0
Lake Wohlen,↑,Wohlensee,Wohlen,Berne,3.65,480.0,20.0
Pfäffikersee,,Pfäffikersee,Pfäffikersee,Zurich,3.3,536.0,35.0
Klöntalersee,*,Klöntalersee,Klöntalersee,Glarus,3.29,847.0,47.0
Lac d'Emosson,↑,Lac d'Emosson,Emosson,Valais,3.27,1930.0,161.0
Lake Silvaplana,,"Silvaplanersee, Lej da Silvaplauna",Silvaplana,Grisons,3.1,1790.0,77.0
Lake Lauerz,,Lauerzersee,Lauerz,Schwyz,3.1,447.0,14.0
Grimselsee,↑,Grimselsee,Grimsel,Berne,2.63,1908.0,100.0
Lake Lungern,*,"Lungerersee, Lungernsee",Lungern,Obwalden,2.01,688.0,68.0
Lac de Mauvoisin,↑,Lac de Mauvoisin,Mauvoisin,Valais,2.08,1961.0,180.0
Lago di Poschiavo,*,Lago di Poschiavo,Poschiavo,Grisons,1.98,962.0,85.0
Lai da Sontga Maria,↑,Lai da Sontga Maria,St. Maria,"Grisons, Ticino",1.77,1908.0,86.0
Mattmarksee,↑,Mattmarksee,Mattmark,Valais,1.76,2197.0,93.0
Lago di Vogorno,↑,Lago di Vogorno,Vogorno,Ticino,1.68,470.0,204.0
Lac de Salanfe,↑,Lac de Salanfe,Salanfe,Valais,1.62,1925.0,48.0
Zervreilasee,↑,Zervreilasee,Zervreila,Grisons,1.61,1862.0,140.0
Lac de l'Hongrin,↑,Lac de l'Hongrin,Hongrin,Vaud,1.6,1255.0,105.0
Lago Bianco,*,Lago Bianco,Bianco,Grisons,1.5,2234.0,53.0
Lago Ritom,*,Lago Ritom,Ritom,Ticino,1.49,1850.0,69.0
Oberaarsee,↑,Oberaarsee,Oberaar,Berne,1.47,2303.0,90.0
Lai da Marmorera,↑,Lai da Marmorera,Marmorera,Grisons,1.41,1680.0,65.0
Lac de Moiry,↑,Lac de Moiry,Moiry,Valais,1.4,2249.0,120.0
Limmernsee,↑,Limmernsee,Limmern,Glarus,1.36,1857.0,122.0
Göscheneralpsee,↑,Göscheneralpsee,Göscheneralp,Uri,1.32,1792.0,106.0
Lago di Luzzone,↑,Lago di Luzzone,Luzzone,Ticino,1.27,1606.0,181.0
Klingnauer Stausee,↑,Klingnauer Stausee,Klingnau,Aargau,1.16,318.0,8.5
Albigna lake,↑,Lago da l'Albigna Lägh da l'Albigna,Albigna,Grisons,1.13,2163.0,108.0
Oeschinen Lake,↑,Oeschinensee,Oeschinen,Berne,1.11,1578.0,56.0
Lago del Sambuco,↑,Lago del Sambuco,Sambuco,Ticino,1.11,1461.0,124.0
