Week,Date,Result,Record,Opponent,Points For,Points Against,First Downs,Attendance
1,September 18,Win,,at Minnesota Vikings,16,10,16,47678
2,September 25,Win,,New York Giants,41,21,25,64215
3,October 2,Win,,Tampa Bay Buccaneers,23,7,23,55316
4,October 9,Win,,at St. Louis Cardinals,30,24,22,50129
5,October 16,Win,,Washington Redskins,34,16,23,62115
6,October 23,Win,,at Philadelphia Eagles,16,10,17,65507
7,October 30,Win,,Detroit Lions,37,0,20,63160
8,November 6,Win,,at New York Giants,24,10,13,74532
9,November 14,Loss,,St. Louis Cardinals,17,24,16,64038
10,November 20,Loss,,at Pittsburgh Steelers,13,28,20,49761
11,November 27,Win,,at Washington Redskins,14,7,19,55031
12,December 4,Win,,Philadelphia Eagles,24,14,19,60289
13,December 12,Win,,at San Francisco 49ers,42,35,24,55851
14,December 18,Win,,Denver Broncos,14,6,15,63752
