Sheriff,Start of term,Sheriff.1,Start of term.1,Sheriff.2,Start of term.2
Josiah Hobart,1683,Abraham Gardiner,1821.0,Henry Preston,1903.0
John Mulford,1701,Samuel Smith,1826.0,John Wells,1906.0
Hugh Gray,1702,Abraham Gardiner,1829.0,Charles Platt,1909.0
John Brush,1710,Richard Smith,1832.0,Melville Brush,1912.0
Daniel Youngs,1718,Silas Horton,1835.0,D. Henry Brown,1913.0
Samuel Dayton,1723,Samuel Miller,1838.0,Charles O'Dell,1914.0
William Sell,1728,David Brush,1841.0,Amza Biggs,1917.0
Joseph Smith,1730,Henry Penny,1844.0,John Kelly,1920.0
David Corrie,1731,David Rose,1847.0,Amza Biggs,1923.0
Jacob Conklin,1734,John Clark,1850.0,Burton Howe,1926.0
Thomas Higbe,1740,Samuel Phillips,1855.0,Ellis Taylor,1929.0
James Muirson,1774,George Carman,1856.0,Joseph Warta,1932.0
Thomas Wickes,1785,Stephen Wilson,1859.0,William McCollom,1935.0
Silas Halsey,1787,Daniel Osborn,1862.0,Jacob Dreyer,1938.0
Thomas Wickes,1791,George Smith,1868.0,John Levy,1941.0
Phinaes Carll,1799,J. Henry Perkins,1871.0,William McCollom,1942.0
Josiah Reeve,1803,Egbert Lewis,1874.0,Charles Dominy,1957.0
Phinaes Smith,1807,George Cooper,1877.0,Frank Gross,1962.0
Josiah Reeve,1808,Robert Petty,1888.0,Philip Corso,1970.0
Benjamin Brewster,1810,Selah Brewster,1883.0,Donald Dilworth,1976.0
Josiah Reeve,1811,Henry Halsey,1886.0,John Finnerty,1977.0
Benjamin Brewster,1812,Robert Petty,1888.0,Eugene Dooley,1986.0
Josiah Reeve,1813,A. M. Darling,1891.0,Patrick Mahoney,1990.0
Nathaniel Conklin,1814,Benjamin Wood,1897.0,Alfred C. Tisch,2002.0
Josiah Reeve,1815,J. Sheridan Wells,1900.0,Vincent F. DeMarco,2006.0
Samuel Carll,1819,,,,
