week,date,opponent,game site,nfl recap,attendance
1,"September 8, 1986",New York Giants,Texas Stadium,[1],59804
2,"September 14, 1986",at Detroit Lions,Pontiac Silverdome,[2],73812
3,"September 21, 1986",Atlanta Falcons,Texas Stadium,[3],62880
4,"September 29, 1986",at St. Louis Cardinals,Busch Memorial Stadium,[4],49077
5,"October 5, 1986",at Denver Broncos,Mile High Stadium,[5],76082
6,"October 12, 1986",Washington Redskins,Texas Stadium,[6],63264
7,"October 19, 1986",at Philadelphia Eagles,Veterans Stadium,[7],68572
8,"October 26, 1986",St. Louis Cardinals,Texas Stadium,[8],60756
9,"November 2, 1986",at New York Giants,Giants Stadium,[9],74871
10,"November 9, 1986",Los Angeles Raiders,Texas Stadium,[10],61706
11,"November 16, 1986",at San Diego Chargers,Jack Murphy Stadium,[11],55622
12,"November 23, 1986",at Washington Redskins,RFK Stadium,[12],55642
13,"November 27, 1986",Seattle Seahawks,Texas Stadium,[13],58020
14,"December 7, 1986",at Los Angeles Rams,Anaheim Stadium,[14],64949
15,"December 14, 1986",Philadelphia Eagles,Texas Stadium,[15],46117
16,"December 21, 1986",Chicago Bears,Texas Stadium,[16],57256
