Season,Appearance,Interchange,Tries,Goals,F/G,Points
2000(Bulldogs),,1.0,,,,0
2001(Bulldogs),21.0,3.0,13.0,1.0,1.0,55
2002(Bulldogs),17.0,,10.0,,2.0,42
2003(Bulldogs),19.0,,8.0,,2.0,34
2004(Bulldogs),25.0,1.0,8.0,,2.0,34
2005(Bulldogs),23.0,,11.0,1.0,3.0,49
2006(Roosters),16.0,,,,,0
2007(Roosters),19.0,,5.0,,2.0,22
2008(Roosters),25.0,,11.0,5.0,1.0,55
2009(Roosters),14.0,,5.0,6.0,1.0,33
2010(Roosters),27.0,,9.0,2.0,1.0,41
2011(Roosters),24.0,,2.0,41.0,1.0,91
2012(Roosters),22.0,,4.0,62.0,,140
2013(Tigers),16.0,2.0,1.0,4.0,,12
