pos,rider,manufacturer,time/retired,points
1,Max Biaggi,Aprilia,40:36.299,25.0
2,Marcellino Lucchi,Aprilia,+6.914,20.0
3,Ralf Waldmann,Honda,+18.294,16.0
4,Olivier Jacque,Honda,+18.607,13.0
5,Jurgen Fuchs,Honda,+31.617,11.0
6,Tetsuya Harada,Yamaha,+31.649,10.0
7,Jean-Philippe Ruggia,Honda,+31.683,9.0
8,Nobuatsu Aoki,Honda,+47.701,8.0
9,Luis d'Antin,Honda,+51.186,7.0
10,Cristiano Migliorati,Honda,+51.556,6.0
11,Massimo Ottobre,Aprilia,+51.563,5.0
12,Eskil Suter,Aprilia,+51.613,4.0
13,Luca Boscoscuro,Aprilia,+51.617,3.0
14,Regis Laconi,Honda,+52.394,2.0
15,Jurgen vd Goorbergh,Honda,+52.569,1.0
16,Sebastian Porto,Aprilia,+1:03.619,
17,Jamie Robinson,Aprilia,+1:06.917,
18,Olivier Petrucciani,Aprilia,+1:06.945,
19,Alessandro Antonello,Aprilia,+1:07.099,
20,Osamu Miyazaki,Aprilia,+1:32.873,
21,Davide Bulega,Aprilia,+1:32.902,
22,Yasumasa Hatakeyama,Honda,+1:34.039,
23,Franco Battaini,Aprilia,+1:34.363,
24,Sete Gibernau,Honda,+1:34.931,
25,Christian Boudinot,Aprilia,+1:41.263,
26,Jose Barresi,Yamaha,+1 Lap,
27,Roberto Rolfo,Aprilia,+1 Lap,
28,Cristophe Cogan,Honda,+1 Lap,
Ret,Gianluigi Scalvini,Honda,Retirement,
Ret,Roberto Locatelli,Aprilia,Retirement,
Ret,Takeshi Tsujimura,Honda,Retirement,
