Rank,Diver,Preliminary Points,Preliminary Rank,Final Points
,Sylvie Bernier (CAN),489.51,3,530.7
,Kelly McCormick (USA),516.75,2,527.46
,Christina Seufert (USA),481.41,5,517.62
4.0,Li Yihua (CHN),517.92,1,506.52
5.0,Li Qiaoxian (CHN),466.83,6,487.68
6.0,Elsa Tenorio (MEX),460.56,8,463.56
7.0,Lesley Smith (ZIM),438.72,10,451.89
8.0,Debbie Fuller (CAN),437.04,11,450.99
9.0,Jennifer Donnet (AUS),432.78,12,443.13
10.0,Daphne Jongejans (NED),487.95,4,437.4
11.0,Anita Rossing (SWE),464.58,7,424.98
12.0,Veronica Ribot (ARG),443.25,9,422.52
13.0,Ann Fargher (NZL),421.65,13,
14.0,Tine Tollan (NOR),419.55,14,
15.0,Antonette Wilken (ZIM),414.66,15,
16.0,Guadalupe Canseco (MEX),411.96,16,
17.0,Claire Izacard (FRA),403.17,17,
18.0,Valerie McFarland-Beddoe (AUS),401.13,18,
19.0,Alison Childs (GBR),400.68,19,
20.0,Kerstin Finke (FRG),393.93,20,
21.0,Nicole Kreil (AUT),382.68,21,
22.0,Joana Figueiredo (POR),374.07,22,
23.0,Angela Ribeiro (BRA),370.68,23,
24.0,Rim Hassan (EGY),258.63,24,
