tournament,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Australian Open,A,2R,2R,2R,3R,2R,1R,3R,1R,1R,2R
French Open,2R,1R,1R,2R,2R,1R,2R,3R,1R,1R,
Wimbledon,A,2R,2R,1R,3R,2R,1R,2R,2R,1R,
US Open,A,1R,1R,1R,2R,2R,2R,2R,2R,1R,
,,,,,,,,,,,
Indian Wells Masters,A,A,A,3R,2R,1R,4R,2R,3R,A,A
Miami Masters,A,A,A,2R,1R,1R,2R,2R,2R,A,
Monte-Carlo Masters,A,1R,A,3R,LQ,A,1R,2R,A,A,
Rome Masters,A,A,A,A,A,LQ,3R,1R,2R,A,
Madrid Masters,A,A,A,LQ,LQ,1R,3R,3R,2R,1R,
Canada Masters,A,A,A,A,A,1R,A,A,A,A,
Cincinnati Masters,A,A,A,LQ,A,3R,A,1R,A,A,
Shanghai Masters,Not Masters Series,Not Masters Series,Not Masters Series,Not Masters Series,Not Masters Series,1R,QF,2R,Q2,A,
Paris Masters,A,A,A,LQ,LQ,A,A,2R,1R,1R,
Hamburg Masters,A,A,2R,1R,A,Not Masters Series,Not Masters Series,Not Masters Series,Not Masters Series,Not Masters Series,
,,,,,,,,,,,
,,,,,,,,,,,
Year End Ranking,129,91,68,90,62,41,33,39,76,62,
