week,date,opponent,time,game site,tv,result/score
1,"September 6, 2007",Indianapolis Colts,8:30 pm EDT,RCA Dome,NBC,
2,"September 16, 2007",Tampa Bay Buccaneers,1:00 pm EDT,Raymond James Stadium,Fox,
3,"September 24, 2007",Tennessee Titans,8:30 pm EDT,Louisiana Superdome,ESPN,
4,Bye,Bye,Bye,Bye,Bye,Bye
5,"October 7, 2007",Carolina Panthers,1:00 pm EDT,Louisiana Superdome,Fox,
6,"October 14, 2007",Seattle Seahawks,8:15 pm EDT,Qwest Field,NBC,
7,"October 21, 2007",Atlanta Falcons,1:00 pm EDT,Louisiana Superdome,Fox,
8,"October 28, 2007",San Francisco 49ers,4:15 pm EDT,Monster Park,Fox,
9,"November 4, 2007",Jacksonville Jaguars,1:00 pm EST,Louisiana Superdome,CBS,
10,"November 11, 2007",St. Louis Rams,1:00 pm EST,Louisiana Superdome,Fox,
11,"November 18, 2007",Houston Texans,1:00 pm EST,Reliant Stadium,Fox,
12,"November 25, 2007",Carolina Panthers,1:00 pm EST,Bank of America Stadium,Fox,
13,"December 2, 2007",Tampa Bay Buccaneers,1:00 pm EST,Louisiana Superdome,Fox,
14,"December 10, 2007",Atlanta Falcons,8:30 pm EST,Georgia Dome,ESPN,
15,"December 16, 2007",Arizona Cardinals,1:00 pm EST,Louisiana Superdome,Fox,
16,"December 23, 2007",Philadelphia Eagles,1:00 pm EST,Louisiana Superdome,Fox,
17,"December 30, 2007",Chicago Bears,1:00 pm EST,Soldier Field,Fox,
