mainland,area (sq miles),area (km2),population (2011),density (per km2)
Aberdeen City,70.0,182.0,222800.0,1224.0
Aberdeenshire,2439.0,6317.0,253000.0,40.0
Angus,843.0,2184.0,116000.0,53.0
Argyll and Bute,2712.0,7023.0,88200.0,13.0
Clackmannanshire,61.0,158.0,51400.0,325.0
Dumfries and Galloway,2489.0,6446.0,151300.0,23.0
Dundee City,21.0,55.0,147300.0,2678.0
East Ayrshire,492.0,1275.0,122700.0,96.0
East Dunbartonshire,68.0,176.0,105000.0,597.0
East Lothian,257.0,666.0,99700.0,150.0
East Renfrewshire,65.0,168.0,90600.0,539.0
City of Edinburgh,100.0,260.0,476600.0,1833.0
Falkirk,113.0,293.0,156000.0,532.0
Fife,517.0,1340.0,365200.0,273.0
Glasgow City,68.0,175.0,593200.0,3390.0
Highland,10085.0,26119.0,232100.0,9.0
Inverclyde,64.0,167.0,81500.0,488.0
Midlothian,135.0,350.0,83200.0,238.0
Moray,864.0,2237.0,93300.0,42.0
North Ayrshire,343.0,888.0,138200.0,156.0
North Lanarkshire,184.0,476.0,337800.0,710.0
Perth and Kinross,2083.0,5395.0,146700.0,27.0
Renfrewshire,102.0,263.0,174900.0,665.0
Scottish Borders,1825.0,4727.0,113900.0,24.0
South Ayrshire,475.0,1230.0,112800.0,92.0
South Lanarkshire,686.0,1778.0,313800.0,176.0
Stirling,866.0,2243.0,90200.0,40.0
West Dunbartonshire,68.0,176.0,90700.0,515.0
West Lothian,165.0,427.0,175100.0,410.0
TOTAL MAINLAND,28260.0,73193.0,5223100.0,71.0
ISLANDS,,,,
Na h-Eileanan Siar,1185.0,3070.0,27700.0,8.0
Orkney Islands,396.0,1025.0,21400.0,21.0
Shetland Islands,568.0,1471.0,23200.0,15.0
TOTAL ISLANDS,2149.0,5566.0,72300.0,13.0
TOTAL SCOTLAND,30409.0,78759.0,5295400.0,67.0
