Name,Party,Province,Term expires,Years in office
William Atkinson,Liberal,Central,1989,
Colin Bell,Liberal,Lower West,1989,
Joe Berinson,Labor,North Central Metropolitan,1986,
James Brown,Labor,South-East,1986,
Eric Charlton,National/NP,Central,1989,
Des Dans,Labor,South Metropolitan,1989,
Peter Dowding,Labor,North,1986,
Graham Edwards,Labor,North Metropolitan,1989,
Lyla Elliott,Labor,North-East Metropolitan,1986,
Vic Ferry,Liberal,South-West,1989,
Harry Gayfer,National/NCP,Central,1986,
Clive Griffiths,Liberal,South Central Metropolitan,1989,
Kay Hallahan,Labor,South-East Metropolitan,1989,
Bob Hetherington,Labor,South-East Metropolitan,1986,
Garry Kelly,Labor,South Metropolitan,1986,
Thomas Knight,Liberal,South,1986,
Sandy Lewis,Liberal,Lower Central,1986,
Phil Lockyer,Liberal,Lower North,1986,
Margaret McAleer,Liberal,Upper West,1986,
Fred McKenzie,Labor,North-East Metropolitan,1989,
Graham MacKinnon,Liberal,South West,1986,
Thomas McNeil,National/NP,Upper West,1989,
Gordon Masters,Liberal,West,1986,
Ian Medcalf,Liberal,Metropolitan,1986,
Norman Moore,Liberal,Lower North,1989,
Mark Nevill,Labor,South-East,1989,
Neil Oliver,Liberal,West,1989,
Phillip Pendal,Liberal,South Central Metropolitan,1986,
Sam Piantadosi,Labor,North Central Metropolitan,1989,
Ian Pratt,Liberal,Lower West,1986,
Tom Stephens,Labor,North,1989,
Bill Stretch,Liberal,Lower Central,1989,
Peter Wells,Liberal,North Metropolitan,1986,
Richard Williams,Liberal,Metropolitan,1989,
David Wordsworth,Liberal,South,1989,
