Year,Venue,Individual,Sprint,Pursuit,Mass start,Relay
1993,"Borovets, Bulgaria",,,,,18.0
1995,"Antholz-Anterselva, Italy",67.0,,,,12.0
1996,"Ruhpolding, Germany",20.0,48.0,,,11.0
1997,"Brezno-Osrblie, Slovakia",33.0,64.0,,,12.0
1998,"Pokljuka, Slovenia",,,11.0,,
1999,"Kontiolahti, Finland and Oslo, Norway",28.0,5.0,4.0,7.0,5.0
2000,"Oslo, Norway and Lahti, Finland",15.0,15.0,7.0,7.0,6.0
2001,"Pokljuka, Slovenia",30.0,21.0,19.0,17.0,9.0
2003,"Khanty-Mansiysk, Russia",15.0,26.0,35.0,,12.0
2004,"Oberhof, Germany",42.0,30.0,43.0,,13.0
