rnd ,pick num,nfl team,player,pos ,college,conf ,notes
1,1.0,Houston Texans,David Carr,QB,Fresno State,WAC,pre-signed
1,2.0,Carolina Panthers,Julius Peppers,DE,North Carolina,ACC,
1,3.0,Detroit Lions,Joey Harrington,QB,Oregon,Pac-10,
1,4.0,Buffalo Bills,Mike Williams,OT,Texas,Big 12,
1,5.0,San Diego Chargers,Quentin Jammer,CB,Texas,Big 12,
1,6.0,Kansas City Chiefs,Ryan Sims,DT,North Carolina,ACC,from Dallas
1,7.0,Minnesota Vikings,Bryant McKinnie,OT,Miami (FL),Big East,
1,8.0,Dallas Cowboys,Roy Williams,SS,Oklahoma,Big 12,from Kansas City
1,9.0,Jacksonville Jaguars,John Henderson,DT,Tennessee,SEC,
1,10.0,Cincinnati Bengals,Levi Jones,OT,Arizona State,Pac-10,
1,11.0,Indianapolis Colts,Dwight Freeney,DE,Syracuse,Big East,
1,12.0,Arizona Cardinals,Wendell Bryant,DT,Wisconsin,Big Ten,
1,13.0,New Orleans Saints,Donte Stallworth,WR,Tennessee,SEC,
1,14.0,New York Giants,Jeremy Shockey,TE,Miami (FL),Big East,from Tennessee
1,15.0,Tennessee Titans,Albert Haynesworth,DT,Tennessee,SEC,from N.Y. Giants
1,16.0,Cleveland Browns,William Green,RB,Boston College,Big East,
1,17.0,Oakland Raiders,Phillip Buchanon,CB,Miami (FL),Big East,from Atlanta
1,18.0,Atlanta Falcons,T. J. Duckett,RB,Michigan State,Big Ten,from Washington via Oakland
1,19.0,Denver Broncos,Ashley Lelie,WR,Hawaiʻi,WAC,
1,20.0,Green Bay Packers,Javon Walker,WR,Florida State,ACC,from Seattle
1,21.0,New England Patriots,Daniel Graham,TE,Colorado,Big 12,from Tampa Bay via Oakland and Washington
1,22.0,New York Jets,Bryan Thomas,DE,UAB,C-USA,
1,23.0,Oakland Raiders,Napoleon Harris,LB,Northwestern,Big Ten,
1,24.0,Baltimore Ravens,Ed Reed,FS,Miami (FL),Big East,
1,25.0,New Orleans Saints,Charles Grant,DE,Georgia,SEC,from Miami
1,26.0,Philadelphia Eagles,Lito Sheppard,CB,Florida,SEC,
1,27.0,San Francisco 49ers,Mike Rumph,CB,Miami (FL),Big East,
1,28.0,Seattle Seahawks,Jerramy Stevens,TE,Washington,Pac-10,from Green Bay
1,29.0,Chicago Bears,Marc Colombo,OT,Boston College,Big East,
1,30.0,Pittsburgh Steelers,Kendall Simmons,G,Auburn,SEC,
1,31.0,St. Louis Rams,Robert Thomas,LB,UCLA,Pac-10,
1,32.0,Washington Redskins,Patrick Ramsey,QB,Tulane,C-USA,from New England
2,33.0,Houston Texans,Jabar Gaffney,WR,Florida,SEC,
2,34.0,Carolina Panthers,DeShaun Foster,RB,UCLA,Pac-10,
2,35.0,Detroit Lions,Kalimba Edwards,DE,South Carolina,SEC,
2,36.0,Buffalo Bills,Josh Reed,WR,LSU,SEC,
2,37.0,Dallas Cowboys,Andre Gurode,C,Colorado,Big 12,
2,38.0,Minnesota Vikings,Raonall Smith,LB,Washington State,Pac-10,
2,39.0,San Diego Chargers,Toniu Fonoti,G,Nebraska,Big 12,
2,40.0,Jacksonville Jaguars,Mike Pearson,OT,Florida,SEC,
2,41.0,Cincinnati Bengals,Lamont Thompson,FS,Washington State,Pac-10,
2,42.0,Indianapolis Colts,Larry Tripplett,DT,Washington,Pac-10,
2,43.0,Kansas City Chiefs,Eddie Freeman,DE,UAB,C-USA,
2,44.0,New Orleans Saints,LeCharles Bentley,C,Ohio State,Big Ten,
2,45.0,Tennessee Titans,Tank Williams,SS,Stanford,Pac-10,
2,46.0,New York Giants,Tim Carter,WR,Auburn,SEC,
2,47.0,Cleveland Browns,Andre Davis,WR,Virginia Tech,Big East,
2,48.0,San Diego Chargers,Reche Caldwell,WR,Florida,SEC,from Atlanta
2,49.0,Arizona Cardinals,Levar Fisher,LB,NC State,ACC,
2¤,50.0,Houston Texans,Chester Pitts,G,San Diego State,MWC,
2,51.0,Denver Broncos,Clinton Portis,RB,Miami (FL),Big East,
2,52.0,Baltimore Ravens,Anthony Weaver,DE,Notre Dame,Ind.,from Washington
2,53.0,Oakland Raiders,Langston Walker,G,California,Pac-10,from Tampa Bay
2,54.0,Seattle Seahawks,Maurice Morris,RB,Oregon,Pac-10,
2,55.0,Oakland Raiders,Doug Jolley,TE,BYU,MWC,
2,56.0,Washington Redskins,Ladell Betts,RB,Iowa,Big Ten,from Baltimore
2,57.0,New York Jets,Jon McGraw,S,Kansas State,Big 12,
2,58.0,Philadelphia Eagles,Michael Lewis,S,Colorado,Big 12,
2,59.0,Philadelphia Eagles,Sheldon Brown,CB,South Carolina,SEC,from Miami
2,60.0,Seattle Seahawks,Anton Palepoi,DE,UNLV,MWC,from Green Bay
2,61.0,Buffalo Bills,Ryan Denney,DE,BYU,MWC,from San Francisco
2,62.0,Pittsburgh Steelers,Antwaan Randle El,WR,Indiana,Big Ten,
2,63.0,Dallas Cowboys,Antonio Bryant,WR,Pittsburgh,Big East,from Chicago
2,64.0,St. Louis Rams,Travis Fisher,CB,UCF,Ind.,
2,65.0,New England Patriots,Deion Branch,WR,Louisville,C-USA,
3,66.0,Houston Texans,Fred Weary,G,Tennessee,SEC,
3,67.0,Cincinnati Bengals,Matt Schobel,TE,TCU,C-USA,from Carolina
3,68.0,Detroit Lions,Andre Goodman,CB,South Carolina,SEC,
3,69.0,San Francisco 49ers,Saleem Rasheed,LB,Alabama,SEC,from Buffalo
3,70.0,Minnesota Vikings,Willie Offord,SS,South Carolina,SEC,
