Year,Division,League,Reg. Season,Playoffs,National Cup
1931,1.0,ASL,6th (Fall),No playoff,
Spring 1932,1.0,ASL,5th?,No playoff,1st Round
Fall 1932,1.0,ASL,3rd,No playoff,
Spring 1933,1.0,ASL,?,?,Final
1933/34,,ASL,2nd,No playoff,?
1934/35,,ASL,2nd,No playoff,?
1935/36,,ASL,1st,Champion (no playoff),?
1936/37,,ASL,"5th, National",Did not qualify,Champion
1937/38,,ASL,"3rd(t), National",1st Round,?
1938/39,,ASL,"4th, National",Did not qualify,?
1939/40,,ASL,4th,No playoff,?
1940/41,,ASL,6th,No playoff,?
1941/42,,ASL,3rd,No playoff,?
1942/43,,ASL,6th,No playoff,?
1943/44,,ASL,9th,No playoff,?
1944/45,,ASL,9th,No playoff,?
1945/46,,ASL,5th,No playoff,?
1946/47,,ASL,6th,No playoff,?
1947/48,,ASL,6th,No playoff,?
1948/49,,ASL,1st(t),Finals,?
1949/50,,ASL,3rd,No playoff,?
1950/51,,ASL,5th,No playoff,?
1951/52,,ASL,6th,No playoff,?
1952/53,,ASL,6th,No playoff,Semifinals
1953/54,,ASL,1st,Champion (no playoff),Champion
1954/55,,ASL,8th,No playoff,?
1955/56,,ASL,6th,No playoff,?
