name of place,number of counties,principal county,lower zip code,upper zip code
Sabinsville,1,Tioga County,16943.0,
Sabula,1,Clearfield County,15801.0,
Sackett,1,Elk County,16735.0,
Sackville,1,Delaware County,,
Saco,1,Bradford County,18850.0,
Saco,1,Lackawanna County,,
Sacramento,1,Schuylkill County,17968.0,
Sadlers Corner,1,Venango County,,
Sadsbury Meeting House,1,Lancaster County,,
Sadsbury Township,1,Chester County,,
Sadsbury Township,1,Crawford County,,
Sadsbury Township,1,Lancaster County,,
Sadsburyville,1,Chester County,19369.0,
Saegers,1,Lycoming County,,
Saegersville,1,Lehigh County,18053.0,
Saegertown,1,Crawford County,16433.0,
Safe Harbor,1,Lancaster County,17516.0,
Sagamore,1,Armstrong County,16250.0,
Sagamore,1,Fayette County,15446.0,
Sagamore Estates,1,Pike County,,
Saginaw,1,York County,17347.0,
Sagon,1,Northumberland County,17872.0,
Sagon Junction,1,Northumberland County,,
St. Albans,1,Delaware County,19073.0,
St. Augustine,1,Cambria County,16636.0,
St. Benedict,1,Cambria County,15773.0,
St. Boniface,1,Cambria County,16675.0,
St. Charles,1,Clarion County,16242.0,
St. Clair,1,Allegheny County,,
St. Clair,1,Schuylkill County,17970.0,
St. Clair,1,Westmoreland County,15601.0,
St. Clair Acres,1,Allegheny County,15241.0,
St. Clair Township,1,Westmoreland County,,
St. Clairsville,1,Bedford County,16667.0,
St. Davids,1,Delaware County,19087.0,
St. George,1,Venango County,16374.0,
St. Joe,1,Butler County,,
St. Johns,1,Luzerne County,18247.0,
St. Joseph,1,Susquehanna County,18818.0,
St. Lawrence,1,Berks County,19606.0,
St. Lawrence,1,Cambria County,16668.0,
St. Leonard,1,Bucks County,18940.0,
St. Martins,1,Philadelphia County,,
St. Marys,1,Chester County,,
St. Marys,1,Elk County,15857.0,
Saint Marys Seminary,1,Montgomery County,,
St. Michael,1,Cambria County,15951.0,
St. Michael-Sidman,1,Cambria County,,
St. Nicholas,1,Schuylkill County,17948.0,
St. Paul,1,Somerset County,15552.0,
Saint Pauls Church,1,Philadelphia County,,
St. Peters,1,Chester County,19470.0,
St. Petersburg,1,Clarion County,16054.0,
St. Thomas,1,Franklin County,17252.0,
St. Thomas Township,1,Franklin County,,
St. Vincent College,1,Westmoreland County,15650.0,
St. Vincent Shaft,1,Westmoreland County,15650.0,
Salco,1,Somerset County,15530.0,
Salem,1,Clearfield County,15801.0,
Salem,1,Franklin County,17201.0,
Salem,1,Mercer County,16125.0,
Salem,1,Snyder County,17870.0,
Salem Harbor,1,Bucks County,19020.0,
Salem Township,1,Clarion County,,
Salem Township,1,Luzerne County,,
Salem Township,1,Mercer County,,
Salem Township,1,Wayne County,,
Salem Township,1,Westmoreland County,,
Salemville,1,Bedford County,16664.0,
Salford,1,Montgomery County,18957.0,
Salford Heights,1,Montgomery County,19438.0,
Salford Township,1,Montgomery County,,
Salfordville,1,Montgomery County,18958.0,
Salida,1,Allegheny County,15227.0,
Salina,1,Westmoreland County,15680.0,
Salisbury,1,Somerset County,15558.0,
