constituency,region,name,party,last elected
1,Arica and Parinacota Tarapacá,Fulvio Rossi,PS,2009
1,Arica and Parinacota Tarapacá,Jaime Orpis Bouchon,UDI,2009
2,Antofagasta,Carlos Cantero Ojeda,Ind.,2005
2,Antofagasta,,PRSD,2005
3,Atacama,Isabel Allende,PS,2009
3,Atacama,"Baldo Prokurica Prokurica (Vice-President, March 12, 2008-March 13, 2009)",RN,2009
4,Coquimbo,Gonzalo Uriarte,UDI,2005
4,Coquimbo,,PDC,2005
5,Valparaiso,Ignacio Walker,PDC,2009
5,Valparaiso,Lily Perez,RN,2009
6,Valparaiso,Ricardo L. Weber,PPD,2009
6,Valparaiso,Francisco Chahuan,RN,2009
7,Santiago,,PPD,2005
7,Santiago,,UDI,2005
8,Santiago,Ena von Baer,UDI,2005
8,Santiago,Soledad Alvear Valenzuela,PDC,2005
9,O'Higgins,Alejandro Garcia-Huidobro,UDI,2005
9,O'Higgins,,PS,2005
10,Maule,Ximena Rincon,PDC,2009
10,Maule,Juan Antonio Coloma Correa,UDI,2009
11,Maule,Andres Zaldivar,PDC,2009
11,Maule,Hernán Larrain Fernández,UDI,2009
12,Biobio,,MAS,2005
12,Biobio,Hosain Sabag Castillo,PDC,2005
13,Biobio,Mariano Ruiz-Esquide Jara,PDC,2005
13,Biobio,Victor Perez Varela,UDI,2005
14,Araucania,Jaime Quintana,PPD,2009
14,Araucania,Alberto Espina Otero,RN,2009
15,Araucania,Eugenio Tuma,PPD,2009
15,Araucania,Jose Garcia Ruminot,RN,2009
16,Los Rios (plus District 55),Carlos Larrain Pena,RN,2005
16,Los Rios (plus District 55),"Eduardo Frei Ruiz-Tagle (President, March 11, 2006-March 12, 2008)",PDC,2005
17,Los Lagos (minus District 55),,PS,2005
17,Los Lagos (minus District 55),Carlos Kuschel Silva,RN,2005
18,Aisen,Patricio Walker,PDC,2009
18,Aisen,Antonio Horvath Kiss,RN,2001
19,Magallanes,,Ind.,2005
19,Magallanes,Pedro Munoz Aburto,PS,2005
