tournament,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,sr
Australian Open,A,A,1R,A,2R,3R,2R,3R,W,2R,1R,2R,1R,1 / 10
French Open,A,A,A,A,3R,A,2R,3R,3R,1R,SF,1R,2R,0 / 8
Wimbledon,A,2R,A,SF,1R,3R,3R,2R,QF,3R,3R,1R,2R,0 / 11
US Open,A,1R,A,1R,1R,QF,3R,3R,2R,SF,1R,2R,2R,0 / 11
,,,,,,,,,,,,,,1 / 40
Indian Wells,A,A,A,A,2R,2R,1R,F,W,F,QF,2R,,1 / 8
Miami,A,A,A,A,2R,QF,SF,1R,1R,W,1R,QF,,1 / 8
Monte Carlo,A,A,A,A,2R,A,2R,2R,QF,QF,1R,1R,,0 / 7
Rome,A,A,A,A,1R,1R,F,2R,2R,QF,1R,A,,0 / 7
Madrid (Stuttgart),A,A,A,A,1R,1R,QF,1R,1R,2R,QF,1R,,0 / 8
Canada,A,A,A,A,QF,F,2R,SF,2R,F,2R,A,,0 / 7
Cincinnati,A,A,A,A,QF,1R,SF,W,F,2R,QF,A,,1 / 7
Shanghai,Not Held,Not Held,Not Held,Not Held,Not Held,Not Held,Not Held,Not Held,Not Held,2R,1R,A,,0 / 2
Paris,A,A,A,A,A,QF,1R,1R,QF,2R,F,1R,,0 / 7
Hamburg,A,A,A,A,1R,1R,QF,SF,2R,NM1,NM1,NM1,NM1,0 / 5
,,,,,,,,,,,,,,3 / 66
Year End Ranking,178,103,494,31,32,15,13,18,5,9,23,51,,
