Year,Show,Role,Notes
1998.0,Noorjahan,Noorjahan,
,Kutumb,Gauri Pratham Mittal,
2003.0,Krishna Arjun,Shweta,Cameo
2003.0,Naam Gum Jayegaa,Priyanka Singh,
2003.0,Kya Hadsaa Kya Haqeeqat,Mayuri / Gauri,Episode: Kab Kyun Kahan
,Kyunki Saas Bhi Kabhi Bahu Thi,Nandini Karan Virani,Indian Telly Award for Best Actress in a Supporting Role (2005)
2005.0,Rihaae,,Cameo
2005.0,Jassi Jaisi Koi Nahin,Herself,Cameo
2005.0,Special Squad,Dipika Ghosh,
2006.0,Kaisa Ye Pyar Hai,Kannan,
2008.0,Left Right Left,Capt.Shona Das,
2009.0,,Aditi,Cameo
