Number,Event,Type,Matthew,Mark,Luke,John
1,Pre-existence of Christ,miscellaneous,,,,
2,Genealogy of Jesus,nativity,,,,
3,Birth of John the Baptist,nativity,,,,
4,Annunciation,nativity,,,,
5,Visitation of Mary,nativity,,,,
6,Birth of Jesus,nativity,,,,
7,Annunciation to the shepherds,nativity,,,,
8,Adoration of the shepherds,nativity,,,,
9,Circumcision of Jesus,nativity,,,Luke 02:21,
10,Infant Jesus at the Temple,nativity,,,,
11,Star of Bethlehem,nativity,,,,
12,Visit of the Magi,nativity,,,,
13,Flight into Egypt,nativity,,,,
14,Massacre of the Innocents,nativity,,,,
15,Herod the Great's death,miscellaneous,,,,
16,Return of young Jesus to Nazareth,youth,,,,
17,Finding Jesus in the Temple,youth,,,,
18,John the Baptist,miscellaneous,,,,
19,Ministry of John the Baptist,miscellaneous,,,,
20,Baptism of Jesus,miscellaneous,,,,
21,Temptation of Jesus,miscellaneous,,,,
22,Marriage at Cana,miracle,,,,
24,Jesus & Nicodemus,ministry,,,,
25,Return of Jesus to Galilee,ministry,,,,
26,Exorcism at the Synagogue in Capernaum,miracle,,,,
27,The Growing Seed,parable,,,,
28,Hometown rejection of Jesus,ministry,,,,
29,First disciples of Jesus,ministry,,,,
30,Miraculous draught of fishes,miracle,,,,
31,Beatitudes,sermon,,,,
32,Young Man from Nain,miracle,,,,
33,The Two Debtors,parable,,,,
34,The Lamp under a Bushel,parable,,,,
35,Expounding of the Law,sermon,,,,
36,Seventy Disciples,ministry,,,,
37,Discourse on ostentation,sermon,,,,
38,Parable of the Good Samaritan,parable,,,,
39,Jesus at the home of Martha and Mary,ministry,,,,
40,The Lord's Prayer,ministry,,,,
41,The Friend at Night,parable,,,,
42,The Rich Fool,parable,,,,
43,Samaritan Woman at the Well,ministry,,,,
44,The Birds of Heaven,ministry,,,,
45,Discourse on judging,sermon,,,,
46,Discourse on holiness,sermon,,,,
47,The Test of a Good Person,sermon,,,,
48,The Wise and the Foolish Builders,parable,,,,
49,Cleansing a leper,miracle,,,,
50,The Centurion's Servant,miracle,,,,
51,Healing the mother of Peter's wife,miracle,,,,
52,Exorcising at sunset,miracle,,,,
53,Calming the storm,miracle,,,,
54,Gerasenes demonic,miracle,,,,
55,Paralytic at Capernaum,miracle,,,,
56,Calling of Matthew,ministry,Matthew 09:09,,,
57,New Wine into Old Wineskins,parable,,,,
58,Daughter of Jairus,miracle,,,,
59,The Bleeding Woman,miracle,,,,
60,Two Blind Men at Galilee,miracle,,,,
61,Exorcising a mute,miracle,,,,
62,Commissioning the twelve Apostles,ministry,,,,
63,But to bring a sword,ministry,,,,
64,Messengers from John the Baptist,ministry,,,,
65,Paralytic at Bethesda,miracle,,,,
66,Lord of the Sabbath,ministry,,,,
67,Man with withered Hand,miracle,,,,
68,The Lord's Prayer,ministry,,,,
69,Exorcising the blind and mute man,miracle,,,,
70,Parable of the strong man,parable,,,,
71,Eternal sin,ministry,,,,
72,Jesus' True Relatives,ministry,,,,
