No.,Date,Home team,Visiting team,Goals,Score,Result,Venue,Competition
1.0,16 May 1991,Finland,Malta,,,Win,Helsinki Olympic Stadium,UEFA Euro 1992 qualifying
2.0,25 Mar 1992,Scotland,Finland,,,Draw,"Hampden Park, Glasgow",Friendly
3.0,13 Oct 1993,Sweden,Finland,,,Loss,"Råsunda Stadium, Stockholm",1994 FIFA World Cup qualification
4.0,16 Nov 1994,Finland,Faroe Islands,,,Win,Helsinki Olympic Stadium,UEFA Euro 1996 qualifying
5.0,16 Nov 1994,Finland,Faroe Islands,,,Win,Helsinki Olympic Stadium,UEFA Euro 1996 qualifying
6.0,29 Mar 1995,San Marino,Finland,,,Win,"Stadio Olimpico, Serravalle",UEFA Euro 1996 qualifying
7.0,11 Jun 1995,Finland,Greece,,,Win,Helsinki Olympic Stadium,UEFA Euro 1996 qualifying
8.0,2 Jun 1996,Finland,Turkey,,,Loss,Helsinki Olympic Stadium,Friendly
9.0,2 Feb 1997,Turkey,Finland,,,Draw,"Ataturk Stadium, Denizli",Friendly
10.0,2 Apr 1997,Azerbaijan,Finland,,,Win,"Tofik Bakhramov Stadium, Baku",1998 FIFA World Cup qualification
11.0,8 Jun 1997,Finland,Azerbaijan,,,Win,Helsinki Olympic Stadium,1998 FIFA World Cup qualification
12.0,6 Sep 1997,Switzerland,Finland,,,Win,"Stade Olympique de la Pontaise, Lausanne",1998 FIFA World Cup qualification
13.0,14 Oct 1998,Turkey,Finland,,,Win,"Ali Sami Yen Stadium, Istanbul",UEFA Euro 2000 qualifying
14.0,29 Mar 2000,Wales,Finland,,,Win,"Millennium Stadium, Cardiff",Friendly
15.0,16 Aug 2000,Finland,Norway,,,Win,"Finnair Stadium, Helsinki",
16.0,16 Aug 2000,Finland,Norway,,,Win,"Finnair Stadium, Helsinki",
17.0,2 Sep 2000,Finland,Albania,,,Win,"Finnair Stadium, Helsinki",2002 FIFA World Cup qualification
18.0,15 Aug 2001,Finland,Belgium,,,Win,Helsinki Olympic Stadium,Friendly
19.0,5 Sep 2001,Finland,Greece,,,Win,Helsinki Olympic Stadium,2002 FIFA World Cup qualification
20.0,27 Mar 2002,Portugal,Finland,,,Win,"Estádio do Bessa, Porto",Friendly
21.0,27 Mar 2002,Portugal,Finland,,,Win,"Estádio do Bessa, Porto",Friendly
22.0,30 Apr 2003,Finland,Iceland,,,Win,"Pohjola Stadion, Myyrmäki, Vantaa",Friendly
23.0,31 Apr 2004,Malta,Finland,,,Win,"Ta' Qali National Stadium, Valletta",Friendly
24.0,28 May 2004,Finland,Sweden,,,Loss,"Ratina Stadion, Tampere",Friendly
25.0,26 Mar 2005,Czech Republic,Finland,,,Loss,"Na Stinadlech, Teplice",2006 FIFA World Cup qualification
26.0,2 Sep 2006,Poland,Finland,,,Win,"Zdzisław Krzyszkowiak, Bydgoszcz",UEFA Euro 2008 qualifying
27.0,2 Sep 2006,Poland,Finland,,,Win,"Zdzisław Krzyszkowiak, Bydgoszcz",UEFA Euro 2008 qualifying
28.0,11 Oct 2006,Kazakhstan,Finland,,,Win,"Almaty Central Stadium, Almaty",UEFA Euro 2008 qualifying
29.0,6 Feb 2008,Finland,Greece,,,Loss,"Neo GSP Stadium, Nicosia",Friendly
30.0,26 Mar 2008,Bulgaria,Finland,,,Loss,"Vasil Levski National Stadium, Sofia",Friendly
31.0,9 Sep 2009,Liechtenstein,Finland,,,Draw,"Rheinpark Stadion, Vaduz",2010 FIFA World Cup qualification
32.0,17 Nov 2010,Finland,San Marino,,,Win,Helsinki Olympic Stadium,UEFA Euro 2012 qualifying
