county,brown,votes,nixon,votes 1,wyckoff,votes 2
Plumas,66.44%,3397,31.76%,1624,1.80%,92
Trinity,64.58%,2201,33.69%,1148,1.73%,59
Solano,64.31%,25987,34.37%,13888,1.32%,532
Shasta,63.97%,14753,34.07%,7858,1.96%,453
Lassen,62.50%,3500,35.14%,1968,2.36%,132
San Francisco,62.19%,180298,36.96%,107165,0.85%,2455
Sacramento,60.69%,115462,37.74%,71788,1.57%,2988
Yolo,60.67%,13334,37.82%,8311,1.51%,332
Madera,60.46%,7728,38.36%,4903,1.19%,152
Placer,59.98%,13592,38.29%,8677,1.72%,390
Siskiyou,59.98%,7718,38.41%,4942,1.62%,208
Kings,59.03%,9141,39.48%,6113,1.49%,231
Amador,58.16%,2811,40.16%,1941,1.68%,81
Alameda,57.98%,206861,40.88%,145851,1.13%,4038
Sierra,57.98%,676,39.54%,461,2.49%,29
Fresno,57.78%,68187,40.85%,48211,1.37%,1615
Merced,57.62%,14105,41.14%,10071,1.23%,302
El Dorado,56.25%,6572,41.44%,4842,2.30%,269
Contra Costa,55.49%,91150,43.34%,71192,1.18%,1935
Yuba,53.77%,5028,44.74%,4184,1.49%,139
Stanislaus,53.64%,30431,44.80%,25417,1.57%,888
Napa,53.50%,14748,44.72%,12326,1.78%,490
Ventura,53.46%,37777,45.15%,31899,1.39%,982
San Luis Obispo,52.86%,16110,45.36%,13825,1.78%,543
Tuolumne,52.48%,3631,46.06%,3187,1.46%,101
Humboldt,52.19%,17739,46.22%,15708,1.59%,540
Kern,52.10%,48737,46.33%,43342,1.57%,1471
Colusa,52.06%,2320,46.14%,2056,1.80%,80
Del Norte,51.97%,2741,45.85%,2418,2.18%,115
San Mateo,51.88%,90464,47.09%,82115,1.03%,1797
Los Angeles,51.83%,1191724,46.98%,1080113,1.19%,27445
Modoc,51.73%,1641,46.44%,1473,1.83%,58
San Bernardino,51.68%,88437,46.78%,80054,1.54%,2634
Mendocino,51.50%,8704,46.96%,7936,1.54%,261
Tehama,51.36%,5077,46.44%,4591,2.21%,218
Santa Clara,51.20%,121149,47.63%,112700,1.18%,2783
Nevada,51.02%,4818,47.12%,4450,1.85%,175
San Joaquin,49.40%,43276,49.25%,43147,1.34%,1178
Sonoma,49.19%,29373,49.65%,29647,1.17%,696
Tulare,49.08%,24598,49.71%,24914,1.21%,608
Glenn,48.70%,3299,49.50%,3353,1.80%,122
San Benito,48.30%,2527,50.46%,2640,1.24%,65
Butte,47.74%,16142,50.79%,17172,1.47%,497
Mariposa,47.50%,1272,50.37%,1349,2.13%,57
Santa Barbara,47.50%,30424,51.24%,32821,1.26%,807
Inyo,47.00%,2526,50.99%,2740,2.01%,108
Riverside,46.60%,50257,51.86%,55926,1.54%,1666
Monterey,46.52%,24801,52.52%,28000,0.96%,512
Calaveras,46.37%,2379,51.75%,2655,1.87%,96
Marin,45.38%,27664,53.67%,32720,0.95%,582
Santa Cruz,44.93%,17354,53.28%,20580,1.79%,690
Lake,44.42%,3315,54.15%,4041,1.43%,107
Imperial,44.14%,8241,55.01%,10271,0.85%,158
San Diego,42.40%,153389,55.83%,201969,1.77%,6416
Sutter,41.19%,4816,57.59%,6734,1.21%,142
Orange,39.16%,112152,59.35%,169962,1.49%,4263
Mono,36.12%,488,62.18%,840,1.70%,23
Alpine,34.72%,67,63.21%,122,2.07%,4
