Week,Date,Opponent,Results Final score,Results Team record,Venue,Attendance
1,September 20,at Detroit Lions,,,Tiger Stadium,54418
2,September 26,Chicago Bears,,,Metropolitan Stadium,47900
3,October 3,Buffalo Bills,,,Metropolitan Stadium,47900
4,October 10,at Philadelphia Eagles,,,Veterans Stadium,65358
5,October 17,at Green Bay Packers,,,Lambeau Field,56263
6,October 25,Baltimore Colts,,,Metropolitan Stadium,49784
7,October 31,at New York Giants,,,Yankee Stadium,62829
8,November 7,San Francisco 49ers,,,Metropolitan Stadium,49784
9,November 14,Green Bay Packers,,,Metropolitan Stadium,49784
10,November 21,at New Orleans Saints,,,Tulane Stadium,83130
11,November 28,Atlanta Falcons,,,Metropolitan Stadium,49784
12,December 5,at San Diego Chargers,,,San Diego Stadium,54505
13,December 11,Detroit Lions,,,Metropolitan Stadium,49784
14,December 19,at Chicago Bears,,,Soldier Field,55049
