Year,Time,Windspeed,City,Date,Unnamed: 5
2000,11.45,-2.3,Kingston,13 March,The progression of Powell's 100 m seasons' best times
2001,10.5,0.4,Kingston,22 June,The progression of Powell's 100 m seasons' best times
2002,10.12,1.3,Rovereto,28 August,The progression of Powell's 100 m seasons' best times
2003,10.02,0.8,Brussels,5 September,The progression of Powell's 100 m seasons' best times
2004,9.87,0.2,Brussels,3 September,The progression of Powell's 100 m seasons' best times
2005,9.77,1.6,Athens,14 June,The progression of Powell's 100 m seasons' best times
2006,9.77,1.0,Zurich,15 August,The progression of Powell's 100 m seasons' best times
2007,9.74,1.7,Rieti,9 September,The progression of Powell's 100 m seasons' best times
2008,9.72,0.2,Lausanne,2 September,The progression of Powell's 100 m seasons' best times
2009,9.82,1.4,Szczecin,15 September,The progression of Powell's 100 m seasons' best times
2010,9.82,0.6,Rome,10 June,The progression of Powell's 100 m seasons' best times
2011,9.78,1.0,Lausanne,30 June,The progression of Powell's 100 m seasons' best times
