Date,Tournament,Location,Winner,Score,1st prize ($)
Jan 6,Mercedes Championships,Hawaii,Sergio Garcia (3),,"720,000"
Jan 14,Sony Open in Hawaii,Hawaii,Jerry Kelly (1),,"720,000"
Jan 20,Bob Hope Chrysler Classic,California,Phil Mickelson (20),,"720,000"
Jan 27,Phoenix Open,Arizona,Chris DiMarco (3),,"720,000"
Feb 3,AT&T Pebble Beach National Pro-Am,California,Matt Gogel (1),,"720,000"
Feb 10,Buick Invitational,California,Jose Maria Olazábal (6),,"648,000"
Feb 17,Nissan Open,California,Len Mattiace (1),,"666,000"
Feb 24,Touchstone Energy Tucson Open,Arizona,Ian Leggatt (1),,"540,000"
Feb 24,WGC-Accenture Match Play Championship,California,Kevin Sutherland (1),1 up,"1,000,000"
Mar 3,Genuity Championship,Florida,Ernie Els (9),,"846,000"
Mar 10,Honda Classic,Florida,Matt Kuchar (1),,"630,000"
Mar 17,Bay Hill Invitational,Florida,Tiger Woods (30),,"720,000"
Mar 24,The Players Championship,Florida,Craig Perks (1),,"1,080,000"
Mar 31,Shell Houston Open,Texas,Vijay Singh (10),,"720,000"
Apr 7,BellSouth Classic,Georgia,Retief Goosen (2),,"684,000"
Apr 14,Masters Tournament,Georgia,Tiger Woods (31),,"1,008,000"
Apr 21,WorldCom Classic - The Heritage of Golf,South Carolina,Justin Leonard (7),,"720,000"
Apr 28,Greater Greensboro Chrysler Classic,North Carolina,Rocco Mediate (5),,"684,000"
May 5,Compaq Classic of New Orleans,Louisiana,K.J. Choi (1),,"810,000"
May 12,Verizon Byron Nelson Classic,Texas,Shigeki Maruyama (2),,"864,000"
May 19,MasterCard Colonial,Texas,Nick Price (18),,"774,000"
May 26,The Memorial Tournament,Ohio,Jim Furyk (7),,"810,000"
Jun 2,Kemper Insurance Open,Maryland,Bob Estes (4),,"648,000"
Jun 9,Buick Classic,New York,Chris Smith (1),,"630,000"
Jun 16,U.S. Open,New York,Tiger Woods (32),,"1,000,000"
Jun 23,Canon Greater Hartford Open,Connecticut,Phil Mickelson (21),,"720,000"
Jun 30,FedEx St. Jude Classic,Tennessee,Len Mattiace (2),,"684,000"
Jul 7,Advil Western Open,Illinois,Jerry Kelly (2),,"720,000"
Jul 14,Greater Milwaukee Open,Wisconsin,Jeff Sluman (6),,"558,000"
Jul 21,The Open Championship (British Open),Scotland,Ernie Els (10),,"1,106,140"
Jul 21,B.C. Open,New York,Spike McRoy (1),,"378,000"
Jul 28,John Deere Classic,Illinois,J. P. Hayes (2),,"540,000"
Aug 4,The International,Colorado,Rich Beem (2),44 (Stableford),"810,000"
Aug 11,Buick Open,Michigan,Tiger Woods (33),,"594,000"
Aug 18,PGA Championship,Minnesota,Rich Beem (3),,"990,000"
Aug 25,Reno-Tahoe Open,Nevada,Chris Riley (1),,"540,000"
Aug 25,WGC-NEC Invitational,Washington,Craig Parry (1),,"1,000,000"
Sep 1,Air Canada Championship,Canada,Gene Sauers (3),,"630,000"
Sep 8,Bell Canadian Open,Canada,John Rollins (1),,"720,000"
Sep 15,SEI Pennsylvania Classic,Pennsylvania,Dan Forsman (5),,"594,000"
Sep 22,Tampa Bay Classic,Florida,K.J. Choi (2),,"468,000"
Sep 22,WGC-American Express Championship,Ireland,Tiger Woods (34),,"1,000,000"
Sep 29,Valero Texas Open,Texas,Loren Roberts (8),,"630,000"
Oct 6,Michelob Championship at Kingsmill,Virginia,Charles Howell III (1),,"666,000"
Oct 13,Invensys Classic at Las Vegas,Nevada,Phil Tataurangi (1),,"900,000"
Oct 20,Disney Golf Classic,Florida,Bob Burns (1),,"666,000"
Oct 27,Buick Challenge,Georgia,Jonathan Byrd (1),,"666,000"
Nov 3,The Tour Championship,Georgia,Vijay Singh (11),,"900,000"
Nov 4,Southern Farm Bureau Classic,Mississippi,Luke Donald (1),,"468,000"
