ship,built,type,tonnage,notes
Queen Mary,1936,express,"80,750 GRT","Blue Riband, sold 1967, now a stationary hotel ship"
Mauretania,1939,express,"37,750 GRT",scrapped 1965
Queen Elizabeth,1940,express,"83,650 GRT",
Media,1947,cargo liner,"13,350 GRT","sold to Cogedar Line 1961, scrapped 1989"
Parthia,1947,cargo liner,"13,350 GRT","sold to P&O 1961, renamed Remuera, scrapped 1969"
Caronia,1949,cruise,"34,200 GRT","sold 1968, wrecked 1974"
Britannic,1929,intermediate,"26,943 GRT","built for White Star Line, scrapped 1960"
Georgic,1932,intermediate,"27,759 GRT","built for White Star Line, scrapped 1956"
Saxonia Carmania,1954,intermediate cruise,"21,637 GRT 21,370 GRT","Sold to the Black Sea Shipping Company, Soviet Union 1973"
Ivernia Franconia,1955,intermediate cruise,"21,800 GRT","Sold to the Far Eastern Shipping Company, Soviet Union 1973, scrapped 2004"
Carinthia,1956,intermediate,"21,800 GRT","sold to Sitmar Line 1968, scrapped 2005"
Sylvania,1957,intermediate,"21,800 GRT","sold to Sitmar Line 1968, scrapped 2004"
Alaunia,1960,cargo liner,"7,004 GRT",sold to Brocklebank Line in 1969
Queen Elizabeth 2,1969,express,"70,300 GRT","sold 2008, laid up in Port Rashid"
Atlantic Causeway,1969,container ship,"14,950 GRT",scrapped in 1986
Atlantic Conveyor,1970,container ship,"14,946 GRT",sunk in Falklands War 1982
