Tie no,Home team,Score,Away team,Date,Attendance
1,Rochdale,,Coventry City,25 January 2003,
2,Southampton,,Millwall,25 January 2003,"23,809"
Replay,Millwall,,Southampton,5 February 2003,"10,197"
3,Watford,,West Bromwich Albion,25 January 2003,"16,975"
4,Walsall,,Wimbledon,25 January 2003,"6,693"
5,Gillingham,,Leeds United,25 January 2003,"11,093"
Replay,Leeds United,,Gillingham,4 February 2003,"29,359"
6,Blackburn Rovers,,Sunderland,25 January 2003,"14,315"
Replay,Sunderland,,Blackburn Rovers,5 February 2003,"15,745"
7,Wolverhampton Wanderers,,Leicester City,25 January 2003,"28,164"
8,Shrewsbury Town,,Chelsea,26 January 2003,"7,950"
9,Sheffield United,,Ipswich Town,25 January 2003,"12,757"
10,Fulham,,Charlton Athletic,26 January 2003,"12,203"
11,Brentford,,Burnley,25 January 2003,"9,563"
12,Manchester United,,West Ham United,26 January 2003,"67,181"
13,Norwich City,,Dagenham & Redbridge,25 January 2003,"21,164"
14,Crystal Palace,,Liverpool,26 January 2003,"26,054"
Replay,Liverpool,,Crystal Palace,5 February 2003,"35,109"
15,Farnborough Town,,Arsenal,25 January 2003,"35,108"
16,Stoke City,,Bournemouth,26 January 2003,"12,004"
