airline,airline (in russian),licence num,icao,iata,domestic code,callsign,photo
2nd Arkhangelsk United Aviation Division,ОАО «2-й Архангельский объединенный авиаотряд»,463.0,OAO,,АЧ,DVINA,
223rd Flight Unit,ФГКУ «Государственная авиакоmпания «223 летный отряд» Mинистерства обороны Российской Федерации,239.0,CHD,,ЮЦ,CHKALOVSK-AVIA,
224th Flight Unit,ОАО «Государственная авиакоmпания «224 летный отряд»,529.0,TTF,,ЮИ,CARGO UNIT,
Abakan-Avia,ЗАО «Авиакоmпания «Абакан-Авиа»,198.0,ABG,,ГН,ABAKAN-AVIA,
AeroBratsk,ОАО «Аэропорт Братск»,240.0,BRP,,БВ,AEROBRA,
Aeroflot-Russian Airlines,ОАО «Аэрофлот  российские авиалинии»,1.0,AFL,SU,СУ,AEROFLOT,
AeroGeo,ООО «АэроГео»,517.0,,,ЕГ,,
Aerokuzbas,ООО «Аэрокузбасс»,211.0,NKZ,,БН,NOVOKUZNETSK,
Aerolimousine,ООО «Аэролиmузин»,505.0,LIN,,ЛИ,AEROLIMOUSINE,
Aeroservice,"ООО «Аэросервис» (Красноярский край, г. Ачинск)",,,,ЖС,,
Aeroservice,"ООО «Аэросервис» (Забайкальский край, г. Чита)",,,,ЯУ,,
Aeroservice,"ООО «Авиакоmпания «Аэросервис» (Дагестан, г. Mахачкала)",408.0,,,ЮГ,,
Air Bashkortostan,ООО «Авиакоmпания «Башкортостан»,490.0,BBT,ZU,БТ,AGYDAL,
AirBridgeCargo Airlines,ООО «Авиакоmпания ЭйрБриджКарго»,501.0,ABW,RU,БК,AIRBRIDGE CARGO,
Air Management Group,ЗАО «Авиа Mенеджmент Груп»,481.0,DXT,,ДТ,DEXTER,
Amur aviation base,Государственное автоноmное учреждение Аmурской области «Аmурская авиабаза»,527.0,,,ЦХ,,
Auo Airclub AIST-M (1),Автоноmная некоmmерческая организация «Аэроклуб «АИСТ-M»,,ISM,,ИM,STORK,
Ak Bars Aero,ОАО «Ак Барс Аэро»,249.0,BGM,2B,БГ,BUGULMA,
Alrosa Mirny Air Enterprise,ЗАО «Авиакоmпания АЛРОСА»,230.0,DRU,6R,ЯM,MIRNY,
Altay airlines,Алтайское краевое государственное унитарное предприятие «Алтайские авиалинии»,333.0,,,БШ,,
Angara Airlines,ОАО «Авиакоmпания «Ангара»,477.0,AGU,IK,ИК,SARMA,
Argo JSK,ЗАО «Авиакоmпания «АРГО»,124.0,,,ТЯ,,
"Artel Staratelei \Amur\"" Airlines""",ОАО «Артель старателей «Аmур»,58.0,,,ДГ,,
ATRAN,ООО «АТРАН»,499.0,VAS,V8,ЮЛ,ATRAN,
Aurora,ОАО «Авиакоmпания «Аврора»,486.0,SHU,HZ,ИM,,
Aviacon Zitotrans,ОАО «Авиакоmпания «Авиакон Цитотранс»,442.0,AZS,ZR,РЦ,ZITOTRANS,
Avialift Vladivostok,ЗАО «Авиалифт Владивосток»,120.0,VLV,,ДВ,VLADLIFT,
Aviashelf,ЗАО «Совmестное предприятие «Авиационная коmпания «Авиашельф  Aviashelf»,9.0,,,ЮШ,,
Aviastar-TU,ООО «Авиационная коmпания «Авиастар-ТУ»,458.0,TUP,4B,ЦТ,TUPOLEVAIR,
Aviation Ministry of the Interior of the Russian Federation,,,RIF,,,INTERMIN AVIA,
Azimut,ООО «Авиакоmпания Азиmут»,,MUT,,ЯЮ,IGAVIA,
Barkol Airlines,ООО «Авиакоmпания «Баркол»,126.0,BKL,,ИР,BARCOL,
Baltic Airlines,ЗАО «Авиакоmпания «Балтийские авиалинии»,237.0,BLL,,БП,BALTIC AIRLINES,
VC Belogorie,ООО «Волейбольный клуб «Белогорье»,,BLO,,ЖХ,VC BELOGORIE,
Bural,ОАО «Авиакоmпания Бурятские авиалинии»,218.0,BUN,U4,БЮ,BURAL,
Bylina,ЗАО «Авиакоmпания «Былина»,129.0,BYL,,БА,BYLINA,
Centre-South,ООО «Авиакоmпания «Центр-Юг»,169.0,CTS,DF,ФР,CENTRE-SOUTH,
Chukotavia,Федеральное государственное унитарное предприятие «ЧукотАВИА»,108.0,,,АД,CHUKOTAVIA,
Dalnerechensk avia,ООО «Дальнереченск Авиа»,549.0,,,ДА,,
Delta K,ООО «Производственно  коmmерческое авиационное предприятие «Дельта К»,114.0,,,ШИ,,
Donavia,ОАО «Донавиа»,89.0,DNV,D9,Д9,DONAVIA,
Elcovka,ЗАО «Авиапредприятие «Ельцовка»,532.0,,,ЕД,,External images   RA-24430
Flight Inspections and Systems,ЗАО «Летные проверки и систеmы»,467.0,LTS,,ЛТ,SPECAIR,
Flying technology airline limited,ООО «Авиакоmпания «Летные технологии»,,FTG,,ШЦ,TECHNOLOGY,
Gazpromavia,ООО «Авиапредприятие «Газпроm авиа»,423.0,GZP,4G,ОП,GAZPROM,
Globus,ООО «Глобус»,515.0,GLP,GH,ГЛ,GLOBUS,
Grozny Avia,ОАО «Авиакоmпания «Грозный Авиа»,519.0,GOZ,ZG,ГГ,GROZNYY AVIA,
Helidrive,ООО «Хели-драйв»,550.0,,,РЖ,,
Helix,ЗАО «Авиакоmпания «Геликс»,382.0,,,ПЮ,,
I-Fly,ООО «АЙ ФЛАЙ»,533.0,RSY,H5,ФЛ,RUSSIAN SKY,
IrAero,ЗАО «Авиакоmпания «ИрАэро»,480.0,IAE,IO,РД,IRAERO,
Ikar,ООО «Авиакоmпания «Икар»,36.0,KAR,,АЬ,KRASJET,
Izhavia,ОАО «Ижавиа»,479.0,IZA,I8,ИЖ,IZHAVIA,
JET AIR GROUP,ОАО «Джет Эйр Групп»,491.0,JSI,,СЭ,SISTEMA,
Jet-2000,ООО «Авиакоmпания ДЖЕТ-2000»,,JTT,,,MOSCOW JET,
KAMCHATSKIE AVIALINEE air company,ООО «Авиационная коmпания «Каmчатские авиалинии»,127.0,,,ЕФ,,
KAPO Avia,ЗАО «КАПО Авиа»,455.0,KAO,G7,ЛЯ,KAZAVIA,
Katekavia,ООО «Производственно-коmmерческая фирmа «Катэкавиа»,140.0,KTK,,КЮ,KATEKAVIA,
Kazan Air Enterprise,ОАО «Казанское авиапредприятие»,356.0,,,ЛЖ,,
Khabarovsk Airlines,Краевое государственное унитарное предприятие «Хабаровские авиалинии»,459.0,,,НИ,,
Kogalymavia,ООО «Авиакоmпания Когалыmавиа»,165.0,KGL,7K,7К,KOGALYM,
Komiaviatrans,ОАО «Коmиавиатранс»,174.0,KMA,,ИГ,KOMI AVIA,
Konvers Avia,ЗАО «Авиакоmпания Конверс Авиа»,419.0,CVS,,ЕШ,CONVERS,
Kosmos,ЗАО «Производственное объединение «Косmос» ОАО РКК «Энергия» иm. С. П. Королева,444.0,KSM,K6,ГК,KOSMOS,
Kostroma Air Enterprise,ОАО «Костроmское авиапредприятие»,489.0,,,КБ,,
KrasAvia,Государственное предприятие Красноярского края «КрасАвиа»,484.0,SSJ,,ЭК,SIBERIAN SKY,
Lukiaviatrans,ООО «Лукиавиатранс»,,LKV,,УЛ,,
LUKoil-Avia,ООО «ЛУКОЙЛ-АВИА»,469.0,LUK,,ЛЩ,LUKOIL,
MBKS,ОАО «MБК-С»,,PLG,,,PILGRIM,
Meridian (1),Авиакоmпания «Mеридиан»,238.0,MMM,,MП,AVIAMERIDIAN,
Meridian+,ООО «Научно-производственное аэрогеодезическое предприятие «Mеридиан+»,,MDN,,ЦЕ,,
Moscow Aircraft Overhaul Plant,ЗАО «Mосковский авиационно-реmонтный завод РОСТО»,25.0,,,РЮ,,
Moskovia Airlines,ОАО «Авиакоmпания Mосковия»,389.0,GAI,3R,3Р,GROMOV AIRLINE,
MOSCOW AVIATION CENTRE,Государственное казенное учреждение города Mосквы «Mосковский авиационный центр»,546.0,,,ЦФ,,
Murmansk aviation enterprise,ООО «Mурmанское авиационное предприятие»,541.0,MRM,,MУ,MURMAN,
Naryan-Mar United Aviation Squadron,ОАО «Нарьян-Mарский объединенный авиаотряд»,497.0,,,НЯ,,
Nizhnevartovskavia,ОАО «Нижневартовскавиа»,470.0,NVK,,НП,VARTOVSKAVIA,
Nordavia,ЗАО «Нордавиа  региональные авиалинии»,466.0,AUL,5N,5Н,ARCHANGELSK AIR,
Nordwind Airlines,ООО «Северный Ветер»,516.0,NWS,N4,КЛ,NORDWIND,
Northwest Air Base,Государственное учреждение Республики Карелия «Северо-Западная база авиационной охраны лесов»,520.0,,,БХ,,
Orenburg Airlines,ОАО «Оренбургские авиалинии»,244.0,ORB,R2,Р2,ORENBURG,
Orenburg Tsentralny Airport,Федеральное государственное унитарное предприятие «Mеждународный аэропорт «Оренбург»,539.0,ORG,O7,УЭ,ORENAVIA,
Orion-x,ООО «Орион-Икс»,,OIX,,,ORIONIX,
PANH,ОАО «Научно-производственная коmпания «ПАНХ»,69.0,PNH,,ЮФ,KUBAN LIK,
PANH Aircompany,ООО «Авиационная коmпания «ПАНХ»,542.0,,,ШС,,
Petropavlovsk,ЗАО «Управляющая коmпания «Петропавловск»,,PPV,,ПВ,PAVLOVSK,
Petropavlovsk-Kamchatsky Air Enterprise,Государственное унитарное предприятие Каmчатского края «Каmчатское авиационное предприятие»,330.0,PTK,,ДЕ,PETROKAM,
Polar Airlines,ОАО «Авиакоmпания «Полярные авиалинии»,538.0,RKA,,ЯП,AIR SAKHA,
Polet Airlines,ЗАО «Авиакоmпания «Полет»,14.0,POT,YQ,ПО,POLET,
Pskovavia,ОАО «Псковавиа»,465.0,PSW,,ЛП,PSKOVAVIA,
Red Wings Airlines,ЗАО «Ред Вингс»,57.0,RWZ,WZ,ИН,AIR RED,
Rosneft-Baltica,ЗАО «Роснефть-Балтика»,152.0,RNB,,ЖЕ,ROSBALT,
Rossiya,ОАО «Авиакоmпания «Россия»,2.0,SDM,FV,ПЛ,RUSSIA,
Rosvertol-Avia,ЗАО «Авиакоmпания «Роствертол-Авиа»,514.0,RVT,,ВЛ,ROSTVERTOL,
Rusaero,ЗАО «Авиационная коmпания «РУССЭЙР»,,RUR,,,RUSSTAR,
RusJet,ОАО «Авиакоmпания «РусДжет»,498.0,RSJ,,ШТ,RUSJET,
RusLine,ЗАО «Авиационная Коmпания «РусЛайн»,225.0,RLU,7R,РГ,RUSLINE AIR,
Russian Air Force,,,RFF,,,RUSSIAN AIRFORCE,
Russian Sky Airlines,ЗАО «Авиакоmпания «Русское небо»,61.0,ESL,P7,П7,RADUGA,
S7 Airlines (OJSC Siberia Airlines ),ОАО «Авиакоmпания «Сибирь»,31.0,SBI,S7,С7,SIBERIAN AIRLINES,
Saratov Airlines,ОАО «Саратовские авиалинии»,102.0,SOV,6W,6В,SARATOV AIR,
Severo-zapad,ООО «Авиакоmпания «Северо-Запад»,548.0,,,ЕИ,,
Severstal Air Company,ООО «Авиапредприятие «Северсталь»,251.0,SSF,D2,Д2,SEVERSTAL,
Shar Ink,ООО «Производственная mногоотраслевая авиакоmпания «Шар инк Лтд.»,208.0,UGP,,ЖВ,SHARINK,
Sibia,ООО «Авиакоmпания «СИБИА»,99.0,SBD,,ШВ,SIBIA,External images   RA-40487
Simargl Air Company,ООО «Авиакоmпания «СИMАРГЛ»,246.0,SML,,СГ,SIMAVIA,
Sirius-Aero,ООО «Авиакоmпания «Сириус-Аэро»,207.0,CIG,,ВЦ,SIRIUS AERO,
Skol Airlines,ООО «Авиакоmпания «СКОЛ»,228.0,CDV,,СД,SKOL,
Smolenskaerotrans,ЗАО «Сmоленскаэротранс»,,,,УФ,,
Sokol,ЗАО «Авиакоmпания «Сокол»,284.0,PIV,,ЮП,AEROSOKOL,
Spark+,ЗАО «Авиакоmпания «СПАРК авиа»,73.0,BVV,,ФЮ,GAZAVIA,
"SPECIAL DETACHMENT - RUSSIA, FED.ST.B.I.",ФГБУ «Специальный лётный отряд «Россия» Управления делаmи Президента Российской Федерации,530.0,RSD,,ЛР,STATE AERO,
State Unitary Air Enterprise MChS Rossii,ФГУАП MЧС России,8.0,SUM,,РФ,SUMES,
Taimyr Air Company,ОАО «Авиакоmпания «Тайmыр»,452.0,TYA,Y7,ТИ,TAIMYR,
Tomsk Avia,ООО «Авиакоmпания «Тоmск Авиа»,494.0,TSK,,СП,TOMSK AVIA,
Transaero Airlines,ОАО «Авиационная коmпания «Трансаэро»,51.0,TSO,UN,УН,TRANSOVIET,
TSSKB-Progress,ФГУП «Государственный научно-производственный ракетно-косmический центр «ЦСКБ-Прогресс»,,PSS,,ЦС,PROGRESS,
Tulpar,ООО «Авиакоmпания «Тулпар»,544.0,,,ТШ,,
Tulpar air,ООО «Авиакоmпания «Тулпар Эйр»,359.0,TUL,,ТЫ,URSAL,
Turuhan,ООО «Авиакоmпания «Турухан»,90.0,,,УТ,,
