club,chinese,city,home stadium,capacity,average attendance
Beijing GuoanTH,北京国安,Beijing,Workers Stadium,62000,33342
Changchun Yatai,长春亚泰,Changchun,Development Area Stadium,25000,10067
Changsha Ginde,长沙金德,Changsha,Helong Stadium,55000,10152
Chongqing Lifan,重庆力帆,Chongqing,Chongqing Olympic Sports Center,58680,11433
Dalian Shide,大连实德,Dalian,Jinzhou Stadium,30775,12307
Hangzhou Greentown,杭州绿城,Hangzhou,Yellow Dragon Stadium,51139,14550
Henan Construction,河南建业,Zhengzhou,Hanghai Stadium,29000,18630
Jiangsu Sainty,江苏舜天,Nanjing,Nanjing Olympic Stadium,61443,10667
Liaoning WhowinP,辽宁宏运,Shenyang,Shenyang Tiexi Stadium,24000,10100
Nanchang HengyuanP,南昌衡源,Nanchang,Nanchang Bayi Stadium,20000,11680
Qingdao Jonoon,青岛中能,Qingdao,Qingdao Tiantai Stadium,20525,6247
Shaanxi Chan-Ba,陕西浐灞,Xi'an,Shaanxi Province Stadium,47565,28053
Shandong Luneng,山东鲁能,Jinan,Shandong Provincial Stadium,43700,15901
Shanghai Shenhua,上海申花,Shanghai,Hongkou Stadium,33060,12963
Shenzhen Ruby,深圳红钻,Shenzhen,Shenzhen Stadium,32500,12439
Tianjin Teda,天津泰达,Tianjin,TEDA Football Stadium,36390,14757
Total,Total,Total,Total,Total,14581
