num,nation,qualification tournament,place in qt,sailor
1,China,Host Country,,
2,Brazil,2007 Worlds,1.0,"Robert Scheidt, Bruno Prada"
3,France,2007 Worlds,2.0,"Xavier Rohart, Pascal Rambeau"
4,Great Britain,2007 Worlds,3.0,"Iain Percy, Andrew Simpson"
5,New Zealand,2007 Worlds,4.0,"Hamish Pepper, Carl Williams"
6,Italy,2007 Worlds,5.0,"Diego Negri, Luigi Viale"
7,Poland,2007 Worlds,6.0,"Mateusz Kusznierewicz, Dominik Zycki"
8,Germany,2007 Worlds,7.0,"Marc Pickel, Ingo Borkowski"
9,Sweden,2007 Worlds,8.0,"Fredrik Lööf, Anders Ekström"
10,Australia,2007 Worlds,9.0,"Iain Murray, Andrew Palfrey"
11,Portugal,2007 Worlds,10.0,"Afonso Domingos, Bernardo Santos"
12,United States,2007 Worlds,11.0,"Mark Reynolds, Hal Haenel"
13,Switzerland,2008 Worlds,4.0,"Flavio Marazzi, Enrico De Maria"
14,Croatia,2008 Worlds,12.0,"Marin Lovrovic, Sinsa Mikulicic"
15,Ireland,2008 Worlds,14.0,"Max Treacy, Anthony Shanks"
16,Austria,2008 Worlds,16.0,"Hans Spitzauer, Christian Nehammer"
