result,date,category,tournament,surface,partnering,opponents
Runner-up,10 December 1978,"$75,000","Sydney, Australia",Grass,Judy Chaloner,Kerry Reid  Wendy Turnbull
Runner-up,8 November 1981,"$50,000",Hong Kong,Clay,Susan Leo,Ann Kiyomura  Sharon Walsh
Winner,13 June 1982,"$100,000","Birmingham, Great Britain",Grass,Jo Durie,Rosie Casals  Wendy Turnbull
Winner,23 May 1983,"$150,000","Berlin, Germany",Carpet,Jo Durie,Claudia Kohde-Kilsch  Eva Pfaff
Runner-up,19 June 1983,"$150,000","Eastbourne, Great Britain",Grass,Jo Durie,Martina Navrátilová  Pam Shriver
Winner,21 August 1983,"$200,000","Toronto, Canada",Hard,Andrea Jaeger,Rosalyn Fairbank  Candy Reynolds
Winner,20 November 1983,"$150,000","Brisbane, Australia",Grass,Wendy Turnbull,Pam Shriver  Sharon Walsh
Winner,27 November 1983,"$150,000","Sydney, Australia",Grass,Wendy Turnbull,Hana Mandliková  Helena Suková
Runner-up,12 December 1983,Grand Slam,"Australian Open, Australia",Grass,Wendy Turnbull,Martina Navrátilová  Pam Shriver
Winner,23 January 1984,"$50,000","Denver, United States",Hard,Marcella Mesker,Sherry Acker  Candy Reynolds
Runner-up,29 January 1984,"$100,000","Marco Island, United States",Clay,Andrea Jaeger,Hana Mandliková  Helena Suková
Runner-up,16 April 1984,"$200,000","Hilton Head, United States",Clay,Sharon Walsh,Claudia Kohde-Kilsch  Hana Mandliková
Runner-up,22 April 1984,"$250,000","Amelia Island, United States",Clay,Mima Jaušovec,Kathy Jordan  Anne Smith
Runner-up,23 April 1984,"$200,000","Orlando, United States",Clay,Wendy Turnbull,Claudia Kohde-Kilsch  Hana Mandliková
Winner,20 May 1984,"$150,000","Berlin, Germany",Clay,Candy Reynolds,Kathy Horvath  Virginia Ruzici
Runner-up,9 September 1984,Grand Slam,"US Open, United States",Hard,Wendy Turnbull,Martina Navrátilová  Pam Shriver
Runner-up,20 May 1985,"$75,000","Melbourne, Australia",Carpet,Kathy Jordan,Pam Shriver  Liz Smylie
Winner,15 December 1985,"$50,000","Auckland, New Zealand",Grass,Candy Reynolds,Lea Antonoplis  Adriana Villagrán
Runner-up,19 July 1987,"$150,000","Newport, United States",Grass,Kathy Jordan,Gigi Fernández  Lori McNeil
Runner-up,30 August 1987,"$150,000","Mahwah, United States",Hard,Liz Smylie,Gigi Fernández  Lori McNeil
