Conference,num of Bids,Record,Win percentage,Round of 32,Sweet Sixteen,Elite Eight,Final Four,Championship Game
Southeastern,6,,0.625,5.0,3.0,1.0,1.0,
Big Ten,5,,0.643,4.0,2.0,2.0,1.0,
Pacific-10,5,,0.615,4.0,2.0,2.0,,
Southwest,4,,0.556,3.0,2.0,,,
Big Eight,4,,0.429,2.0,1.0,,,
Atlantic Coast,3,,0.818,3.0,2.0,1.0,1.0,1.0
Atlantic 10,3,,0.25,1.0,,,,
Sun Belt,2,,0.75,2.0,1.0,1.0,1.0,1.0
Big East,2,,0.7140000000000001,2.0,2.0,1.0,,
Metro,2,,0.5,1.0,1.0,,,
Missouri Valley,2,,0.5,2.0,,,,
Big Sky,2,,0.333,1.0,,,,
Big West,2,,,,,,,
Great Midwest,2,,,,,,,
Mid-Continent,2,,,,,,,
West Coast,2,,,,,,,
Colonial,1,,0.5,1.0,,,,
Western Athletic,1,,0.5,1.0,,,,
