County,Feinstein,Votes,Seymour,Votes.1,Horne,Votes.2,Meeu.,Votes.3,Boddie,Votes.4,W/I,V's
San Francisco,80.60%,250972,15.79%,49165,1.63%,5062,0.62%,1919,1.36%,4233,0.00%,10
Alameda,72.56%,374675,21.93%,113223,2.30%,11866,1.61%,8323,1.60%,8257,0.00%,23
Marin,71.26%,92205,24.61%,31846,1.45%,1880,0.88%,1142,1.80%,2328,0.00%,0
Santa Cruz,67.88%,76327,25.40%,28562,2.49%,2801,1.84%,2072,2.39%,2686,0.00%,1
San Mateo,67.25%,181990,27.89%,75470,1.84%,4983,1.29%,3478,1.73%,4684,0.00%,0
Contra Costa,62.96%,229988,31.62%,115507,1.92%,7011,1.77%,6470,1.73%,6320,0.00%,2
Sonoma,62.84%,121471,29.38%,56793,3.02%,5846,2.43%,4702,2.33%,4502,0.00%,0
Santa Clara,62.19%,364997,30.98%,181858,2.15%,12646,2.20%,12912,2.47%,14518,0.00%,2
Yolo,61.68%,37340,31.70%,19191,2.18%,1319,2.27%,1376,2.17%,1311,0.00%,1
Mendocino,60.59%,22000,30.28%,10993,3.55%,1290,2.86%,1039,2.72%,988,0.00%,0
Solano,59.83%,77739,32.30%,41970,2.75%,3571,2.84%,3696,2.28%,2960,0.00%,0
Humboldt,59.81%,35178,33.18%,19513,2.99%,1756,2.13%,1253,1.90%,1117,0.00%,0
Monterey,58.89%,66417,34.74%,39182,2.10%,2369,2.30%,2590,1.96%,2216,0.00%,0
Los Angeles,58.72%,1552223,34.03%,899656,3.18%,84093,2.09%,55380,1.97%,52123,0.00%,20
Napa,57.01%,29875,35.38%,18539,2.46%,1288,2.93%,1537,2.22%,1161,0.00%,0
San Benito,55.51%,6938,37.10%,4637,2.34%,293,2.88%,360,2.16%,270,0.00%,0
Lake,55.10%,12732,35.04%,8096,3.12%,721,3.96%,916,2.77%,641,0.00%,0
Sacramento,53.77%,237722,38.07%,168318,2.99%,13228,2.88%,12716,2.29%,10113,0.00%,1
Del Norte,50.92%,4696,39.66%,3658,2.56%,236,4.98%,459,1.89%,174,0.00%,0
