player,games played,minutes played,minutes played per game,rebounds,rebounds per game,assists,assists per game,field goal percentage,free throw percentage,3 point percentage,points,points per game
Allan Houston,78,2858,36.6,283,3.6,173,2.2,0.449,0.909,0.381,1459,18.7
Latrell Sprewell,77,3017,39.2,347,4.5,269,3.5,0.43,0.7829999999999999,0.304,1364,17.7
Glen Rice,75,2212,29.5,307,4.1,89,1.2,0.44,0.852,0.389,899,12.0
Marcus Camby,63,2127,33.8,515,11.5,52,0.8,0.524,0.667,0.125,759,12.0
Kurt Thomas,77,2125,27.6,723,6.7,63,0.8,0.511,0.8140000000000001,0.333,800,10.4
Larry Johnson,65,2105,32.4,363,5.6,127,2.0,0.411,0.797,0.313,645,9.9
Charlie Ward,61,1492,24.5,159,2.6,273,4.5,0.416,0.8,0.383,433,7.1
Othella Harrington,30,548,18.3,99,3.3,20,0.7,0.5539999999999999,0.7290000000000001,,185,6.2
Mark Jackson,29,786,27.1,120,4.1,163,5.6,0.411,0.529,0.31,170,5.9
Chris Childs,51,1309,25.7,138,2.7,236,4.6,0.419,0.848,0.313,245,4.8
Erick Strickland,28,421,15.0,52,1.9,29,1.0,0.305,0.857,0.34,120,4.3
Lavor Postell,26,169,6.5,25,1.0,5,0.2,0.315,0.815,0.273,59,2.3
Felton Spencer,18,113,6.3,35,1.9,2,0.1,0.6,0.6,,39,2.2
Luc Longley,25,301,12.0,66,2.6,7,0.3,0.333,0.765,,49,2.0
Rick Brunson,15,66,4.4,12,0.8,7,0.5,0.421,0.667,0.0,20,1.3
Travis Knight,45,256,5.7,53,1.2,5,0.1,0.189,0.5,0.0,29,0.6
