No.,Constituency,Created,Seats,Change
1,,1948,5,none
2,,1977,5,none
3,Clare,1921,4,none
4,Cork East,1981,4,none
5,,1981,4,minus 1
6,,1981,3,none
7,,1981,5,none
8,,1961,3,none
9,,1981,3,none
10,,1981,3,none
11,Dublin Central,1981,4,none
12,,2002,4,plus 1
13,Dublin North,1981,4,none
14,,1948,3,minus 1
15,,1981,3,none
16,,1981,3,none
17,Dublin South,1981,5,none
18,,1948,5,none
19,,1948,4,none
20,,1981,4,none
21,Dublin West,1981,3,none
22,Dún Laoghaire,1977,5,none
23,Galway East,1977,4,none
24,Galway West,1937,5,none
25,Kerry North,1969,3,none
26,Kerry South,1937,3,none
27,Kildare North,1997,4,plus 1
28,Kildare South,1997,3,none
29,,2007,5,plus 5
30,Limerick East,1948,5,none
31,Limerick West,1948,3,none
32,,2007,4,plus 4
33,Louth,1923,4,none
34,Mayo,1997,5,none
35,Meath East,2007,3,plus 3
36,Meath West,2007,3,plus 3
37,,2007,3,plus 3
38,,2007,3,plus 3
39,Tipperary North,1948,3,none
40,Tipperary South,1948,3,none
41,Waterford,1923,4,none
42,Wexford,1921,5,none
43,Wicklow,1923,5,none
